seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
10.0,198,15,1,1,30,30,45.06,49.35,0.3,80714,96731,27648,12211,26284,41137,3173,38116,40797792.705938324,17331905.441641793,-23465887.26429653,19101919.710503142,0.0,3155,4904,0,6073512.578648189,5017677.300000002,30,433,true
10.0,203,15,1,3,15,30,90.12,98.7,0.3,74854,99760,26494,12262,22905,35240,3651,38262,30885049.911348347,24739696.032533374,-6145353.878814973,9960784.859640082,0.0,3229,2534,0,7766409.124066244,5017677.300000002,30,474,true
10.0,199,15,1,3,15,30,45.06,49.35,0.3,88139,94040,26817,12167,25707,39446,3101,38240,31148158.18411,15758628.609583607,-15389529.574526394,9775615.823445702,0.0,3187,2481,0,4754893.960936638,5017677.300000002,30,458,true
10.0,200,15,1,3,30,30,90.12,98.7,0.3,88102,94813,27183,12236,25005,39144,3106,38174,38824222.1987895,19433319.184701502,-19390903.014087997,19366660.22489667,0.0,3186,4975,0,3373422.0724063427,5017677.300000002,30,568,true
10.0,197,15,1,3,30,30,45.06,49.35,0.3,71868,97763,27667,12124,27088,41844,3204,38198,40000490.29053585,16564383.638966992,-23436106.65156886,19923125.654141296,0.0,3133,4879,0,4161460.2862599595,5017677.300000002,30,417,true
10.0,199,15,3,1,15,30,90.12,98.7,0.3,88557,94129,26733,12268,25478,39343,3023,38104,29641491.39547778,20050417.511750694,-9591073.883727085,9628718.675836751,0.0,3178,2543,0,4589632.850992192,5017677.300000002,30,598,true
10.0,200,15,3,1,15,30,45.06,49.35,0.3,87494,92499,26689,12258,24830,38197,2950,38166,29922414.08304649,13736600.391941128,-16185813.69110536,9065336.731649617,0.0,3205,2549,0,2713846.842794374,5017677.300000002,30,558,true
10.0,198,15,3,1,30,30,90.12,98.7,0.3,80515,96386,26993,12175,26499,41236,3217,38272,39163977.09642584,24425639.138596755,-14738337.957829084,18587755.536563206,0.0,3171,4969,0,8418686.346888673,5017677.300000002,30,533,true
10.0,199,15,3,1,30,30,45.06,49.35,0.3,89114,95975,27470,12204,25616,39818,3170,37961,40575933.22066998,16958971.4636991,-23616961.75697088,18482478.62976401,0.0,3174,4994,0,4640105.7502488205,5017677.300000002,30,432,true
10.0,199,15,3,3,15,30,90.12,98.7,0.3,88241,93888,26924,12090,25706,39128,2996,38060,30116481.626526646,24414507.83760668,-5701973.788919967,9287902.316865977,0.0,3167,2539,0,6390578.4405454565,5017677.300000002,30,516,true
10.0,199,15,3,3,15,30,45.06,49.35,0.3,88811,94249,27163,12163,25488,39197,3091,37996,30815601.80308515,16406563.48719424,-14409038.315890908,8804939.149225518,0.0,3158,2530,0,4571570.764901986,5017677.300000002,30,467,true
10.0,198,15,3,3,30,30,90.12,98.7,0.3,80000,96000,27065,12115,26543,41092,3271,38350,37692936.147686474,14581256.767043235,-23111679.38064324,19470854.30543342,0.0,3183,4971,0,2126136.329914569,5017677.300000002,30,702,true
10.0,199,15,3,3,30,30,45.06,49.35,0.3,89229,96079,27487,12175,25561,39899,3162,38011,39766899.40100891,15244202.239419196,-24522697.161589716,19442897.868096452,0.0,3175,4987,0,2633598.967465275,5017677.300000002,30,492,true
