cycle,Native,Exotic,Total,,Total
212,217634,89490,307124,,315775
213,215703,88167,303870,,312453
214,213758,86972,300730,,309199
215,211833,85770,297603,,306010
216,209922,84617,294539,,302873
217,208069,114824,322893,,331000
218,206254,112812,319066,,327039
219,204443,110819,315262,,323302
220,202619,108895,311514,,319510
221,210069,107066,317135,,325302
222,216815,105382,322197,,330627
223,224926,103597,328523,,337185
224,222873,101854,324727,,333423
225,220869,100135,321004,,329605
226,218874,98520,317394,,325988
227,216866,96967,313833,,322432
228,214894,95539,310433,,318928
229,212942,100698,313640,,322699
230,211095,99092,310187,,319157
231,209234,97560,306794,,315627
232,207355,95980,303335,,312206
233,215250,94452,309702,,318859
234,222796,93066,315862,,325047
235,229682,91663,321345,,330806
236,227578,90395,317973,,327288
237,225497,89092,314589,,323791
238,223495,87827,311322,,320477
239,221453,86583,308036,,317180
240,219469,85409,304878,,313820
241,217517,115327,332844,,341698
242,215557,113355,328912,,337721
243,213578,111390,324968,,333781
244,211653,109487,321140,,329959
245,219879,107607,327486,,336421
246,227795,105787,333582,,342748
247,235311,104069,339380,,348806
248,233086,102355,335441,,344843
249,231054,100754,331808,,340946
250,228906,99149,328055,,337124
251,226815,97577,324392,,333594
252,224852,96003,320855,,329994
253,222876,101049,323925,,333689
254,220888,99391,320279,,330079
255,218878,97854,316732,,326431
256,217042,96374,313416,,322828
257,224251,94922,319173,,328976
258,232521,93401,325922,,336004
259,240445,92018,332463,,342972
260,238223,90709,328932,,339485
261,235988,89398,325386,,336080
262,233839,88130,321969,,332531
263,231646,86923,318569,,329148
264,229595,85705,315300,,325772
