,Native dbh in cm,,,,Native th in m,,,,Exotic dbh in cm,,,,Exotic th in m,,,
cycle,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult
32,1.142030226,4.277849113,18.20966378,39.71675158,1.520276982,4.108363715,13.36697258,18.55942947,1.638829256,0,22.63434715,50.22435947,1.756467828,0,11.54772175,13.43200514
33,1.172876108,4.338130846,18.23565185,39.73218877,1.533111154,4.164591858,13.37853748,18.56162777,1.692162665,0,22.7017031,50.2970023,1.781052999,0,11.562306,13.43389432
34,1.203553641,4.363421881,18.24840453,39.66166414,1.546268256,4.187696494,13.38616041,18.5512175,1.754038821,0,22.78231293,50.38170748,1.810110348,0,11.57957788,13.43611925
35,1.234148245,4.383013142,18.26989939,39.63628271,1.559761386,4.205559973,13.39656113,18.54746976,1.818117529,0,22.86093841,50.47349713,1.840783323,0,11.59609297,13.43850779
36,1.265087386,4.36787307,18.2940794,39.64085882,1.573811195,4.189631358,13.40741994,18.54815305,1.877484236,0,22.93618384,50.55682325,1.869713673,0,11.61182331,13.4406382
37,1.295835971,4.39283307,18.32584175,39.66512444,1.588162203,4.212490161,13.42108293,18.55165441,1.867889182,0,23.01171263,50.64037295,1.868109736,0,11.6274968,13.44278993
38,1.326732374,4.41779307,18.35200057,39.66227608,1.602952337,4.235382202,13.43286884,18.55116149,1.927161884,0,23.08695934,50.72098559,1.897271704,0,11.64308058,13.44483718
39,1.357294348,4.44275307,18.36898899,39.6117444,1.617957524,4.258306274,13.44198082,18.54370251,1.372192529,2.056731632,23.12063374,50.69478999,1.640379539,1.959900739,11.65193836,13.44327791
40,1.388437059,4.467987357,18.40046382,39.64196889,1.633654993,4.281513946,13.45525551,18.54802085,1.425533762,2.110072112,23.19128181,50.76998395,1.662649012,1.987519658,11.66640403,13.44515039
41,1.313518188,4.496576744,18.43216789,39.6517405,1.606580252,4.307844495,13.4693087,18.54943632,1.478877531,2.163404147,23.26298458,50.84335941,1.685410554,2.015474277,11.68103513,13.44698624
42,1.27858091,4.52447552,18.45118164,39.60301335,1.594468349,4.333573164,13.47918966,18.54216027,1.532208587,2.216735796,23.33144086,50.91072844,1.708643592,2.043759049,11.6948426,13.44864931
43,1.270316042,4.624808053,18.44543997,39.44293454,1.592579933,4.429008091,13.4809654,18.51872773,1.585544217,2.270070239,23.4031051,50.98312181,1.73234207,2.072366236,11.70928947,13.45039053
44,1.30187526,4.60857834,18.47572736,39.46002832,1.607192283,4.412294177,13.49391466,18.52124906,1.638861583,2.323408135,23.47183744,51.05792184,1.756482603,2.101287027,11.72306443,13.45219026
45,1.323421102,2.192615973,18.50485215,39.47875062,1.616538817,2.172745744,13.50635901,18.52396559,1.692194603,2.376741943,23.54093182,51.13172709,1.781067853,2.13050833,11.73689358,13.45397001
46,1.285672606,2.040216368,18.53416087,39.49827481,1.59240775,2.031768748,13.51880976,18.52672578,1.753931029,2.438624583,23.62197925,51.21658109,1.810059263,2.164784858,11.7529237,13.45603577
47,1.268784321,2.051408103,18.56098775,39.51237297,1.579500736,2.038389735,13.53039527,18.5286974,1.817995583,2.502707584,23.70162563,51.30181345,1.84072442,2.20067877,11.7682636,13.45808914
48,1.257664714,2.068919218,18.58886982,39.53786494,1.569489538,2.050665982,13.54234159,18.5322786,1.877359091,2.562074465,23.77738974,51.3824874,1.869652211,2.234284443,11.78292137,13.45999127
49,1.276858381,2.09571508,18.61763934,39.56153363,1.576916772,2.070541629,13.55450035,18.53556224,1.28487433,2.619147327,23.85289377,51.46353276,1.606917732,2.266901213,11.79748616,13.46192484
50,1.307745929,2.126582639,18.64682751,39.57817449,1.591517584,2.093797508,13.56693358,18.53799975,1.343461481,2.677771405,23.92887404,51.54446399,1.630428439,2.300710298,11.81205754,13.4638402
51,1.338641341,2.15743779,18.67185669,39.59042514,1.606493747,2.117287827,13.57784183,18.53973566,1.372156793,2.677145347,24.00538856,51.61699297,1.640364781,2.302282209,11.8266971,13.46542594
52,1.369813456,2.188085154,18.69248617,39.57595479,1.621994335,2.140780643,13.58759301,18.53756006,1.425490452,2.730400644,24.02705863,51.55454343,1.662630723,2.333197705,11.83225943,13.4626364
53,1.285182056,2.2231631,18.72498018,39.60683187,1.591462797,2.168039869,13.60116893,18.5419977,1.478822081,2.784096574,24.0939958,51.63213005,1.685386636,2.36460145,11.84468377,13.46444141
54,1.235031158,2.257450653,18.75597821,39.62421695,1.57318358,2.194971162,13.61444,18.54452249,1.532155112,2.837065714,24.16408946,51.71150629,1.708620055,2.39583102,11.85759233,13.4662265
55,1.209329989,2.288948894,18.78040284,39.62292458,1.563847607,2.219958989,13.62526561,18.5442838,1.585488242,2.890548164,24.23349342,51.78640565,1.732316953,2.427577787,11.87048401,13.46794523
56,1.240471342,2.320526363,18.79748823,39.59318492,1.577482716,2.24523344,13.63369654,18.53989422,1.638823146,2.943906191,24.30264448,51.8575793,1.756465036,2.459474434,11.88307629,13.46956191
57,1.270120952,2.348551002,18.82946103,39.60736405,1.590730627,2.267901138,13.64722229,18.54194682,1.692157035,2.997270392,24.37145728,51.92692044,1.78105038,2.491587983,11.89565299,13.47112987
58,1.285679296,2.341505336,18.85612853,39.61250648,1.596361415,2.263430408,13.65864034,18.54267941,1.75405806,3.059220409,24.45093451,52.01206168,1.810119464,2.529129798,11.90991699,13.47306596
59,1.273167121,2.294662997,18.87738037,39.60360014,1.586202136,2.227622235,13.66828376,18.54130938,1.8181358,3.123379269,24.53281915,52.09710655,1.840792144,2.568288,11.924683,13.47496017
60,1.241887946,2.259077287,18.89019838,39.55071474,1.564908329,2.200084421,13.67529362,18.5335416,1.877510896,3.183196455,24.60890507,52.17615233,1.869726763,2.605038174,11.93820432,13.47672562
61,1.245259285,2.269446658,18.91817196,39.56695491,1.563043417,2.20833248,13.68708794,18.53581702,1.823351116,3.240038673,24.6815167,52.25283436,1.848157583,2.640187468,11.95083074,13.47843046
62,1.27641918,2.300409927,18.94514949,39.57669885,1.577355233,2.232891027,13.6985664,18.53714545,1.881965242,3.298322933,24.75692381,52.33755598,1.876610863,2.676438589,11.96396802,13.48030101
63,1.307271294,2.331518512,18.96629722,39.56620038,1.591911858,2.257784648,13.70810052,18.53553853,1.372166351,2.542016629,24.58561396,51.67520936,1.64036873,2.241110359,11.93968966,13.45825056
64,1.338229927,2.362690433,18.97997645,39.52892469,1.606902161,2.282946468,13.7152529,18.53005065,1.425502924,2.596552017,24.52451803,51.41182801,1.662635992,2.271629629,11.93214097,13.44920384
65,1.30585438,2.397640351,19.00052753,39.50483258,1.597321545,2.31140744,13.72496248,18.52647756,1.478831471,2.651121029,24.24180735,50.67592325,1.685390689,2.302457226,11.89118273,13.42520812
66,1.246475532,2.432099397,19.03266824,39.53171415,1.575922864,2.339723849,13.73814846,18.53041883,1.532165711,2.706702391,24.26321213,50.65482297,1.708624723,2.334157947,11.89648433,13.42416151
67,1.208432267,2.463772984,19.05637648,39.53159421,1.561914862,2.365940768,13.74825161,18.53038845,1.58550097,2.761562166,24.33209755,50.72936241,1.732322666,2.365702315,11.9091743,13.42622846
68,1.240340973,2.495055382,19.07506882,39.51693125,1.575929459,2.391996073,13.75687778,18.5282187,1.638838168,2.816136253,24.39934067,50.80448082,1.756471902,2.397336579,11.92125734,13.42820422
69,1.265683656,2.514128476,19.09721873,39.51111949,1.58674813,2.408504305,13.76675399,18.52731985,1.692168161,2.870613678,24.46587289,50.88173779,1.781055556,2.429160394,11.93323341,13.4302599
70,1.260193079,2.474070969,19.12381621,39.52238166,1.580472475,2.377590336,13.77794568,18.5289231,1.753954412,2.933473197,24.54248138,50.96412771,1.810070342,2.466174797,11.94693673,13.43241939
71,1.265873746,2.465322846,19.15167299,39.53327714,1.580311755,2.371438317,13.78958352,18.53046892,1.818049094,2.998638236,24.62104233,51.04356166,1.840750265,2.504867284,11.96074835,13.43452755
72,1.25004548,2.436535501,19.17375739,39.52425155,1.567774598,2.348933995,13.79931296,18.52910604,1.877410907,3.059004455,24.69402129,51.12609063,1.869677653,2.540994732,11.97341437,13.43664885
73,1.25573054,2.441370807,19.18776543,39.4879668,1.567270035,2.353252314,13.8064199,18.52375548,1.310951481,3.117054279,24.76299768,51.20651553,1.618600387,2.575986856,11.98548347,13.4387372
74,1.286647374,2.472296454,19.21711684,39.50593999,1.581608243,2.378774478,13.81854141,18.526342,1.369434778,3.175773218,24.83257598,51.29118423,1.642302417,2.611609736,11.99749695,13.44088415
75,1.317519593,2.503085098,19.24240807,39.51530922,1.59630276,2.404397037,13.82910403,18.52760459,1.372156649,3.113588221,24.90500135,51.37410772,1.640364722,2.576997204,12.00984005,13.44301163
76,1.348738335,2.534250942,19.26607853,39.51367472,1.611557493,2.430507177,13.83929707,18.52737356,1.425489567,3.168462934,24.65013314,50.76973577,1.662630349,2.610181148,11.97379308,13.4233927
77,1.300123048,2.56965147,19.28278923,39.46125402,1.595584064,2.460411125,13.84779952,18.51966663,1.478821327,3.223175319,24.40244931,50.28122311,1.685386311,2.643463566,11.93913452,13.40759443
78,1.27569494,2.603911308,19.31569705,39.483645,1.58821851,2.489570456,13.86113819,18.52292962,1.532152976,3.277921151,24.24489538,50.01003583,1.708619115,2.676977542,11.91786747,13.39873543
79,1.229575425,2.635614218,19.34607332,39.5024468,1.571206235,2.516741606,13.87340749,18.52567306,1.585486912,3.332208129,24.26028213,50.01137466,1.732316357,2.710422141,11.92236787,13.39859973
80,1.261134727,2.667336342,19.37187739,39.51051235,1.585321302,2.54409706,13.88419116,18.52677514,1.638819352,3.387556211,24.30323741,50.05985087,1.756463302,2.744684497,11.93092271,13.39989767
81,1.285505037,2.683078671,19.39019504,39.4891514,1.595837256,2.558442867,13.8926173,18.52367669,1.692152896,3.442718237,24.33655409,50.08980731,1.781048454,2.779013918,11.93815931,13.40065743
82,1.269166058,2.619227991,19.40968631,39.47814216,1.583478807,2.507151167,13.90125598,18.52201867,1.754072094,3.507140181,24.39385169,50.15476756,1.810126114,2.819349765,11.94865359,13.40252446
83,1.266534182,2.598971842,19.43461526,39.49319526,1.578621223,2.491313421,13.91141783,18.52420818,1.818149784,3.571813085,24.468658,50.24531211,1.840798901,2.860017622,11.96184721,13.40511435
84,1.265338841,2.587851444,19.45330675,39.47479037,1.574398136,2.482793495,13.91997986,18.52135785,1.877510188,3.632622803,24.53707937,50.32783838,1.869726418,2.898483167,11.97389757,13.40744735
85,1.284075626,2.603847335,19.46157943,39.41045129,1.581691933,2.49659478,13.92517777,18.51189012,1.767586987,3.689825387,24.60207118,50.40420194,1.823175148,2.934784848,11.98517409,13.40966041
