'NATIVE',cycle,Seedling,Sapling,Pole,Adult,Native
NATIVE,2407,8700,13570,5522,43097,70889
NATIVE,2408,8600,13421,5498,43104,70623
NATIVE,2409,8408,13393,5490,43102,70393
NATIVE,2410,7765,13782,5492,43101,70140
NATIVE,2411,7211,14101,5497,43100,69909
NATIVE,2412,6687,14390,5497,43098,69672
NATIVE,2413,6488,14356,5522,43087,69453
NATIVE,2414,6403,14188,5538,43080,69209
NATIVE,2415,6330,14021,5542,43085,68978
NATIVE,2416,6258,13873,5541,43082,68754
NATIVE,2417,7072,13729,5538,43077,69416
NATIVE,2418,7907,13619,5512,43082,70120
NATIVE,2419,8704,13472,5482,43090,70748
NATIVE,2420,8607,13348,5445,43088,70488
NATIVE,2421,8380,13338,5441,43087,70246
NATIVE,2422,7738,13757,5434,43088,70017
NATIVE,2423,7188,14037,5431,43092,69748
NATIVE,2424,6657,14351,5428,43095,69531
NATIVE,2425,6438,14334,5426,43087,69285
NATIVE,2426,6354,14183,5440,43089,69066
NATIVE,2427,6277,14019,5437,43097,68830
NATIVE,2428,6199,13861,5438,43101,68599
NATIVE,2429,6990,13689,5428,43096,69203
NATIVE,2430,7784,13551,5396,43111,69842
NATIVE,2431,8613,13418,5371,43115,70517
NATIVE,2432,8508,13281,5351,43120,70260
NATIVE,2433,8276,13269,5344,43120,70009
NATIVE,2434,7654,13660,5343,43118,69775
NATIVE,2435,7096,13969,5344,43118,69527
NATIVE,2436,6583,14265,5340,43122,69310
NATIVE,2437,6386,14251,5340,43114,69091
NATIVE,2438,6318,14083,5356,43115,68872
NATIVE,2439,6239,13922,5362,43119,68642
NATIVE,2440,6153,13773,5349,43120,68395
NATIVE,2441,6960,13644,5341,43115,69060
NATIVE,2442,7752,13510,5305,43126,69693
NATIVE,2443,8551,13395,5277,43133,70356
NATIVE,2444,8460,13262,5256,43140,70118
NATIVE,2445,8259,13281,5248,43136,69924
NATIVE,2446,7599,13690,5254,43127,69670
NATIVE,2447,7085,13982,5248,43122,69437
NATIVE,2448,6560,14237,5257,43116,69170
NATIVE,2449,6359,14186,5258,43109,68912
NATIVE,2450,6282,14024,5264,43107,68677
NATIVE,2451,6210,13837,5283,43111,68441
NATIVE,2452,6127,13701,5282,43109,68219
NATIVE,2453,6937,13576,5269,43110,68892
NATIVE,2454,7731,13448,5246,43112,69537
NATIVE,2455,8516,13319,5235,43114,70184
NATIVE,2456,8442,13232,5216,43117,70007
NATIVE,2457,8240,13201,5220,43115,69776
NATIVE,2458,7585,13613,5207,43113,69518
NATIVE,2459,7020,13950,5207,43111,69288
NATIVE,2460,6511,14219,5196,43111,69037
NATIVE,2461,6335,14173,5203,43102,68813
NATIVE,2462,6271,14002,5215,43108,68596
NATIVE,2463,6196,13835,5230,43107,68368
NATIVE,2464,6120,13699,5211,43111,68141
NATIVE,2465,6903,13566,5207,43116,68792
NATIVE,2466,7731,13411,5180,43123,69445
NATIVE,2467,8520,13273,5172,43128,70093
NATIVE,2468,8416,13151,5152,43135,69854
NATIVE,2469,8217,13131,5131,43133,69612
NATIVE,2470,7579,13523,5131,43138,69371
NATIVE,2471,7036,13800,5126,43133,69095
NATIVE,2472,6528,14071,5117,43137,68853
NATIVE,2473,6326,14040,5116,43127,68609
NATIVE,2474,6253,13874,5124,43128,68379
NATIVE,2475,6176,13713,5129,43134,68152
NATIVE,2476,6108,13539,5133,43133,67913
NATIVE,2477,6894,13407,5121,43131,68553
NATIVE,2478,7700,13277,5100,43136,69213
NATIVE,2479,8508,13148,5077,43143,69876
NATIVE,2480,8406,13022,5052,43145,69625
NATIVE,2481,8202,13010,5045,43148,69405
NATIVE,2482,7574,13394,5037,43144,69149
NATIVE,2483,7033,13719,5024,43134,68910
NATIVE,2484,6551,14014,5028,43133,68726
NATIVE,2485,6367,13968,5041,43123,68499
NATIVE,2486,6289,13793,5042,43124,68248
NATIVE,2487,6220,13636,5038,43122,68016
NATIVE,2488,6125,13488,5030,43121,67764
NATIVE,2489,6906,13341,5024,43125,68396
NATIVE,2490,7677,13192,5002,43137,69008
NATIVE,2491,8463,13089,4988,43139,69679
NATIVE,2492,8360,12967,4969,43136,69432
