seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
10.0,300,15,1,1,15,50,0.3,90.12,98.7,79360,138699,24199,16134,22148,34288,4949,37451,51609260.23197033,73280498.48772609,21671238.25575576,62218.779489999986,0.0,13992779.977524402,16725591.00000001,100,1059,13,14,0
10.0,301,15,1,1,15,50,0.3,90.12,98.7,76147,139514,24343,16141,28915,33419,4957,37424,51735221.639050335,73280498.48772609,21545276.848675758,58709.12508999999,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,302,15,1,1,15,50,0.3,90.12,98.7,75261,138037,24467,16151,28048,32632,4894,37401,51916393.26432034,73280498.48772609,21364105.223405756,80444.406665,0.0,13992779.977524402,16725591.00000001,100,1059,16,8,0
10.0,303,15,1,1,15,50,0.3,90.12,98.7,74356,136471,24680,16162,6958,52170,4847,37385,52050752.436770335,73280498.48772609,21229746.050955757,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,11,7,0
10.0,304,15,1,1,15,50,0.3,90.12,98.7,73453,135081,24744,16168,6777,50936,4791,37367,52155180.22847533,73280498.48772609,21125318.25925076,44867.92555,0.0,13992779.977524402,16725591.00000001,100,1059,20,9,0
10.0,305,15,1,1,15,50,0.3,90.12,98.7,82921,133763,24734,16177,6583,49615,4703,37379,52293732.909860335,73280498.48772609,20986765.577865757,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,10,0
10.0,306,15,1,1,15,50,0.3,90.12,98.7,93077,132611,24643,16201,6404,48382,4635,37376,52446317.70948534,73280498.48772609,20834180.778240755,42702.82624999999,0.0,13992779.977524402,16725591.00000001,100,1059,13,14,0
10.0,307,15,1,1,15,50,0.3,90.12,98.7,102948,131297,24580,16229,6221,47176,4583,37362,52569547.94656534,73280498.48772609,20710950.541160755,59476.86198999998,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,308,15,1,1,15,50,0.3,90.12,98.7,101759,130019,24550,16246,6031,46061,4494,37374,52728491.35442534,73280498.48772609,20552007.13330075,58709.12508999998,0.0,13992779.977524402,16725591.00000001,100,1059,16,14,0
10.0,309,15,1,1,15,50,0.3,90.12,98.7,99700,129633,24527,16249,5867,44902,4447,37348,52897082.452890344,73280498.48772609,20383416.03483575,82609.50596499999,0.0,13992779.977524402,16725591.00000001,100,1059,11,8,0
