seed,cycle,investor_percent_earning_share,investor_count,investment_rotation_years,nursery_count,police_count,member_count,exotic_price_per_bdft,native_price_per_bdft,Seedling,Sapling,Pole,Adult,Native,Seedling,Sapling,Pole,Adult,Exotic,Total,management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,average m_partners_earning,m_independent_earning,average m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total net investor profit,average net investor profit,total_investments,inv_harvested_trees,with_investment,equally_profitable
10,128,0.3,5,10,3,1,30,45.06,49.35,68038,54070,33719,8834,164661,18415,26311,8253,28894,81873,246534,7730693.123,3834182.22,-3896510.903,4989333.959,4368.943922,148283534.4,104572.3092,283,1142,1418,486495.5662,569564.8,-83069.2338,-16613.84676,5,0,TRUE,0
10,128,0.3,5,10,3,1,30,90.12,98.7,68038,54070,33719,8834,164661,18415,26311,8253,28894,81873,246534,7730693.123,7098799.64,-631893.4825,5526918.426,4839.683385,296567068.8,209144.6183,283,1142,1418,972991.1324,569564.8,403426.3324,80685.26648,5,0,TRUE,0
10,128,0.3,5,10,3,1,15,45.06,49.35,74238,55670,33911,10021,173840,22017,29105,8410,34323,93855,267695,7767669.561,3968758.964,-3798910.597,4486449.314,4248.531547,27721561.73,121054.8547,322,1056,229,941926.3608,569564.8,372361.5608,74472.31216,5,9,TRUE,0
10,128,0.3,5,10,3,1,15,90.12,98.7,74238,55670,33911,10021,173840,22017,29105,8410,34323,93855,267695,7767669.561,7367953.129,-399716.4323,4741634.505,4490.184191,55443123.47,242109.7095,322,1056,229,1883852.722,569564.8,1314287.922,262857.5843,5,9,TRUE,0
10,128,0.3,5,10,1,3,30,45.06,49.35,68125,55110,33295,8942,165472,18913,26814,7944,29729,83400,248872,6647749.488,3225911.289,-3421838.199,5013569.954,5033.704773,132333993.2,91264.82291,372,996,1450,404684.9753,569564.8,-164879.8247,-32975.96493,5,0,TRUE,0
10,128,0.3,5,10,1,3,30,90.12,98.7,68125,55110,33295,8942,165472,18913,26814,7944,29729,83400,248872,6647749.488,5882257.778,-765491.7102,5950278.964,5974.175666,264667986.4,182529.6458,372,996,1450,809369.9507,569564.8,239805.1507,47961.03013,5,0,TRUE,0
10,128,0.3,5,10,1,3,15,45.06,49.35,74170,55164,34080,9935,173349,21380,29066,8364,33526,92336,265685,6528808.592,3457272.652,-3071535.94,3926960.813,4363.289792,52176672.54,148229.1833,204,900,352,941926.3608,569564.8,372361.5608,74472.31216,5,9,TRUE,0
10,128,0.3,5,10,1,3,15,90.12,98.7,74170,55164,34080,9935,173349,21380,29066,8364,33526,92336,265685,6528808.592,6344980.504,-183828.0882,3993557.76,4437.2864,104353345.1,296458.3667,204,900,352,1883852.722,569564.8,1314287.922,262857.5843,5,9,TRUE,0
10,128,0.3,5,10,1,1,30,45.06,49.35,66709,56831,33231,8967,165738,19320,26212,7978,30263,83773,249511,7048924.382,3520146.116,-3528778.266,5914953.514,5776.321791,110532066.8,83863.48014,451,1024,1318,658459.6125,569564.8,88894.81253,17778.96251,5,0,TRUE,0
10,128,0.3,5,10,1,1,30,90.12,98.7,66709,56831,33231,8967,165738,19320,26212,7978,30263,83773,249511,7048924.382,6470727.432,-578196.9505,7797134.622,7614.389279,221064133.7,167726.9603,451,1024,1318,1316919.225,569564.8,747354.4251,149470.885,5,0,TRUE,0
10,128,0.3,5,10,1,1,15,45.06,49.35,73979,55194,34104,9911,173188,21552,28608,8443,33572,92175,265363,6476582.22,3340192.431,-3136389.79,4086701.003,4643.978413,46163236.15,132652.9774,228,880,348,841571.8853,569564.8,272007.0853,54401.41707,5,9,TRUE,0
10,128,0.3,5,10,1,1,15,90.12,98.7,73979,55194,34104,9911,173188,21552,28608,8443,33572,92175,265363,6476582.22,6110820.061,-365762.159,4378735.709,4975.836033,92326472.29,265305.9549,228,880,348,1683143.771,569564.8,1113578.971,222715.7941,5,9,TRUE,0
10,199,0.3,30,15,3,3,30,45.06,49.35,89229,96079,27487,12175,224970,25561,39899,3162,38011,106633,331603,39766899.4,15244202.24,-24522697.16,19442897.87,3898.716236,0,0,3175,4987,0,2633598.967,5017677.3,-2384078.333,-79469.27775,30,492,TRUE,0
10,198,0.3,30,15,3,3,30,90.12,98.7,80000,96000,27065,12115,215180,26543,41092,3271,38350,109256,324436,37692936.15,14581256.77,-23111679.38,19470854.31,3916.888816,0,0,3183,4971,0,2126136.33,5017677.3,-2891540.97,-96384.699,30,702,TRUE,0
10,199,0.3,30,15,3,3,15,45.06,49.35,88811,94249,27163,12163,222386,25488,39197,3091,37996,105772,328158,30815601.8,16406563.49,-14409038.32,8804939.149,3480.213102,0,0,3158,2530,0,4571570.765,5017677.3,-446106.5351,-14870.21784,30,467,TRUE,0
10,199,0.3,30,15,3,3,15,90.12,98.7,88241,93888,26924,12090,221143,25706,39128,2996,38060,105890,327033,30116481.63,24414507.84,-5701973.789,9287902.317,3658.09465,0,0,3167,2539,0,6390578.441,5017677.3,1372901.141,45763.37135,30,516,TRUE,0
10,199,0.3,30,15,3,1,30,45.06,49.35,89114,95975,27470,12204,224763,25616,39818,3170,37961,106565,331328,40575933.22,16958971.46,-23616961.76,18482478.63,3700.93685,0,0,3174,4994,0,4640105.75,5017677.3,-377571.5498,-12585.71833,30,432,TRUE,0
10,198,0.3,30,15,3,1,30,90.12,98.7,80515,96386,26993,12175,216069,26499,41236,3217,38272,109224,325293,39163977.1,24425639.14,-14738337.96,18587755.54,3740.743718,0,0,3171,4969,0,8418686.347,5017677.3,3401009.047,113366.9682,30,533,TRUE,0
10,200,0.3,30,15,3,1,15,45.06,49.35,87494,92499,26689,12258,218940,24830,38197,2950,38166,104143,323083,29922414.08,13736600.39,-16185813.69,9065336.732,3556.42869,0,0,3205,2549,0,2713846.843,5017677.3,-2303830.457,-76794.34857,30,558,TRUE,0
10,199,0.3,30,15,3,1,15,90.12,98.7,88557,94129,26733,12268,221687,25478,39343,3023,38104,105948,327635,29641491.4,20050417.51,-9591073.884,9628718.676,3786.362043,0,0,3178,2543,0,4589632.851,5017677.3,-428044.449,-14268.1483,30,598,TRUE,0
10,197,0.3,30,15,1,3,30,45.06,49.35,71868,97763,27667,12124,209422,27088,41844,3204,38198,110334,319756,40000490.29,16564383.64,-23436106.65,19923125.65,4083.444487,0,0,3133,4879,0,4161460.286,5017677.3,-856217.0137,-28540.56712,30,417,TRUE,0
10,200,0.3,30,15,1,3,30,90.12,98.7,88102,94813,27183,12236,222334,25005,39144,3106,38174,105429,327763,38824222.2,19433319.18,-19390903.01,19366660.22,3892.796025,0,0,3186,4975,0,3373422.072,5017677.3,-1644255.228,-54808.50759,30,568,TRUE,0
10,199,0.3,30,15,1,3,15,45.06,49.35,88139,94040,26817,12167,221163,25707,39446,3101,38240,106494,327657,31148158.18,15758628.61,-15389529.57,9775615.823,3940.191787,0,0,3187,2481,0,4754893.961,5017677.3,-262783.3391,-8759.444635,30,458,TRUE,0
