cycle,investor_percent_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,partners_earning,independent_earning,investor_total_profit,total_investment_cost,total_investments
239,0.5,135.18,49.35,81205,132652,35256,12413,4920,39680,2787,35099,23937720.25831179,23136387.907188855,-801332.3511229344,30885.777124762833,0.0,2026190.5123005887,4689710.099999999,60
240,0.5,135.18,49.35,75082,136735,35274,12438,4798,38694,2787,35056,24045393.891767275,23229325.67676222,-816068.2150050551,34446.47463385799,0.0,2026190.5123005887,4689710.099999999,60
241,0.5,135.18,49.35,72089,137869,35230,12446,33298,37790,2759,35024,24253919.81030843,23352143.3106486,-901776.4996598288,27710.955149838686,0.0,2026190.5123005887,4689710.099999999,60
242,0.5,135.18,49.35,71251,136694,35234,12466,32342,36931,2723,34983,24328211.66312307,23489280.18038932,-838931.4827337526,19993.474311090726,0.0,2026190.5123005887,4689710.099999999,60
243,0.5,135.18,49.35,70407,135473,35291,12473,27004,40459,2676,34964,24408949.830749825,23575503.44230081,-833446.3884490132,13989.657271771635,0.0,2026190.5123005887,4689710.099999999,60
244,0.5,135.18,49.35,69573,134370,35284,12503,26236,39460,2647,34934,24482157.7782408,23659619.16102762,-822538.6172131784,19223.830409545324,0.0,2026190.5123005887,4689710.099999999,60
245,0.5,135.18,49.35,79658,133278,35270,12510,25474,38479,2618,34904,24564458.762083918,23769445.705621306,-795013.056462612,14986.756874444443,0.0,2026190.5123005887,4689710.099999999,60
246,0.5,135.18,49.35,89447,132264,35196,12553,24713,37571,2577,34854,24642766.038906466,23853982.50076495,-788783.5381415151,26864.91460112034,0.0,2026190.5123005887,4689710.099999999,60
247,0.5,135.18,49.35,98744,131196,35119,12601,23952,36720,2510,34850,24716959.69190221,24052462.31696163,-664497.3749405779,25842.10020965492,0.0,2026190.5123005887,4689710.099999999,60
248,0.5,135.18,49.35,97574,130188,35052,12660,23230,35878,2468,34832,24805378.136189498,24167203.704449818,-638174.4317396805,26758.457523240075,0.0,2026190.5123005887,4689710.099999999,60
249,0.5,135.18,49.35,95670,129857,35049,12682,22548,34987,2316,34914,24887539.55502912,24292227.84534545,-595311.7096836716,23954.396134774215,0.0,2026190.5123005887,4689710.099999999,60
250,0.5,135.18,49.35,89376,133930,35102,12708,21885,33772,2604,34964,24970338.386753954,24477430.381654944,-492908.0050990097,22832.712805513667,0.0,2026190.5123005887,4689710.099999999,60
251,0.5,135.18,49.35,83619,137546,35187,12734,21250,32708,2827,34937,25048875.96726129,24534139.396904986,-514736.57035630196,20515.050653922077,0.0,2026190.5123005887,4689710.099999999,60
252,0.5,135.18,49.35,77078,141993,35135,12789,20653,31754,2941,34965,25127905.572802328,24721959.20075851,-405946.37204381824,13173.012734796519,0.0,2026190.5123005887,4689710.099999999,60
253,0.5,135.18,49.35,73873,143271,34999,12806,26642,30979,2917,34936,25344862.16769566,24780839.76846527,-564022.3992303908,15224.974154766727,0.0,2026190.5123005887,4689710.099999999,60
254,0.5,135.18,49.35,73015,142021,34989,12826,25888,30296,2878,34911,25407075.044480562,24978287.57331753,-428787.4711630307,20330.657657121745,0.0,2026190.5123005887,4689710.099999999,60
255,0.5,135.18,49.35,72206,140899,34960,12885,6144,48552,2846,34847,25488564.266472626,25041717.279815804,-446846.98665682226,16498.61958372155,0.0,2026190.5123005887,4689710.099999999,60
256,0.5,135.18,49.35,71335,139763,34895,12935,5975,47317,2804,34827,25547530.737245757,25175435.615043864,-372095.1222018935,12566.90178843984,0.0,2026190.5123005887,4689710.099999999,60
257,0.5,135.18,49.35,80558,138612,34855,12975,5785,46180,2764,34771,25648163.259371877,25228290.7887355,-419872.47063637525,31209.435564444066,0.0,2026190.5123005887,4689710.099999999,60
258,0.5,135.18,49.35,90751,137478,34820,12985,5615,45047,2732,34742,25714712.34827513,25392327.289218437,-322385.0590566918,22447.82620496171,0.0,2026190.5123005887,4689710.099999999,60
259,0.5,135.18,49.35,100550,136461,34822,12981,5455,43911,2703,34691,25814483.1968017,25483900.42536885,-330582.7714328505,27095.845520149225,0.0,2026190.5123005887,4689710.099999999,60
260,0.5,135.18,49.35,99350,135214,34834,12987,5290,42895,2660,34667,25882077.63266584,25596424.153882943,-285653.47878289595,21441.37021695033,0.0,2026190.5123005887,4689710.099999999,60
261,0.5,135.18,49.35,97381,134884,34929,12998,5147,41823,2614,34639,25987650.263088383,25783232.979451876,-204417.28363650665,34556.98544610639,0.0,2026190.5123005887,4689710.099999999,60
262,0.5,135.18,49.35,90699,139366,34850,13017,5001,40700,2687,34594,26071238.365300037,25841901.259605154,-229337.10569488257,27311.339628903148,0.0,2026190.5123005887,4689710.099999999,60
263,0.5,135.18,49.35,85271,142717,34728,13028,4860,39636,2732,34559,26162595.234865945,25979045.112040654,-183550.122825291,25034.577921982844,0.0,2026190.5123005887,4689710.099999999,60
264,0.5,135.18,49.35,78961,146817,34734,13032,4702,38614,2749,34522,26242777.06004665,26039859.351328563,-202917.70871808752,17209.537994444443,0.0,2026190.5123005887,4689710.099999999,60
265,0.5,135.18,49.35,75686,147909,34785,13046,32537,37642,2726,34496,26461549.70776314,26262933.091244772,-198616.61651836708,30660.410101276604,0.0,2026190.5123005887,4689710.099999999,60
266,0.5,135.18,49.35,74826,146649,34759,13058,31605,36795,2692,34432,26541984.926700506,26285912.825886764,-256072.10081374273,7711.129564444445,0.0,2026190.5123005887,4689710.099999999,60
267,0.5,135.18,49.35,73987,145446,34750,13072,26318,40192,2666,34394,26605167.632557236,26429920.606117208,-175247.0264400281,22346.70292081644,0.0,2026190.5123005887,4689710.099999999,60
268,0.5,135.18,49.35,73162,144363,34689,13084,25510,39266,2635,34344,26690691.846729055,26494262.656068638,-196429.19066041708,34128.501683290946,0.0,2026190.5123005887,4689710.099999999,60
269,0.5,135.18,49.35,82714,143232,34636,13111,24742,38356,2594,34320,26775276.674935356,26685233.66318625,-90043.01174910739,25260.192541403,0.0,2026190.5123005887,4689710.099999999,60
270,0.5,135.18,49.35,91964,142062,34645,13155,23993,37488,2557,34280,26877855.65016138,26775757.61043678,-102098.0397246033,31639.619526666665,0.0,2026190.5123005887,4689710.099999999,60
271,0.5,135.18,49.35,102316,140948,34601,13160,23281,36607,2520,34255,26951688.26954304,26926408.50176928,-25279.767773762345,28464.217926666664,0.0,2026190.5123005887,4689710.099999999,60
272,0.5,135.18,49.35,101151,139803,34561,13186,22609,35782,2492,34210,27053235.83976044,27014695.314670894,-38540.52508954704,46156.66119950589,0.0,2026190.5123005887,4689710.099999999,60
273,0.5,135.18,49.35,99137,139491,34533,13229,21954,34974,2463,34179,27150639.348934084,27145143.051310446,-5496.297623638064,44315.83371261082,0.0,2026190.5123005887,4689710.099999999,60
274,0.5,135.18,49.35,92142,144248,34435,13271,21328,33722,2844,34134,27245581.25843063,27232208.84153007,-13372.41690056026,26967.427814641116,0.0,2026190.5123005887,4689710.099999999,60
275,0.5,135.18,49.35,86518,147546,34470,13292,20702,32681,3070,34099,27342782.797246717,27357284.50172825,14501.70448153466,39122.72277466874,0.0,2026190.5123005887,4689710.099999999,60
276,0.5,135.18,49.35,80373,151434,34511,13332,20058,31754,3249,34045,27452189.044175085,27420184.35267724,-32004.691497843713,41501.80289032693,0.0,2026190.5123005887,4689710.099999999,60
277,0.5,135.18,49.35,77405,152293,34465,13355,26250,30952,3270,34014,27677589.380768076,27607127.906485576,-70461.4742824994,41666.850683476725,0.0,2026190.5123005887,4689710.099999999,60
278,0.5,135.18,49.35,76503,151154,34336,13413,25520,30231,3228,33950,27789731.495924346,27651735.346877307,-137996.14904703945,31251.023865222385,0.0,2026190.5123005887,4689710.099999999,60
279,0.5,135.18,49.35,75602,150056,34214,13435,6345,47973,3167,33937,27863031.195149194,27829505.19367192,-33526.001477275044,25690.1093595632,0.0,2026190.5123005887,4689710.099999999,60
280,0.5,135.18,49.35,74716,148980,34123,13458,6179,46837,3108,33906,27956591.629013587,27929899.841583185,-26691.78743040189,26353.013575714645,0.0,2026190.5123005887,4689710.099999999,60
281,0.5,135.18,49.35,84909,147741,34082,13477,5996,45685,3062,33880,28030732.235616494,28053311.549285244,22579.313668750226,24849.899111865427,0.0,2026190.5123005887,4689710.099999999,60
282,0.5,135.18,49.35,94728,146394,34116,13504,5825,44613,3018,33857,28118250.627465196,28245694.10119158,127443.47372638434,24435.34101644072,0.0,2026190.5123005887,4689710.099999999,60
283,0.5,135.18,49.35,104187,145192,34179,13529,5659,43541,2991,33802,28203279.04637066,28306330.894981254,103051.84861059487,27552.342077492496,0.0,2026190.5123005887,4689710.099999999,60
284,0.5,135.18,49.35,102952,144070,34138,13536,5515,42459,2950,33782,28284683.918622766,28494658.486624863,209974.5680020973,24930.953389776227,0.0,2026190.5123005887,4689710.099999999,60
285,0.5,135.18,49.35,100810,143865,34148,13555,5375,41482,2912,33732,28398074.85533071,28560428.650665034,162353.79533432424,36990.75925999999,0.0,2026190.5123005887,4689710.099999999,60
286,0.5,135.18,49.35,93386,148876,34092,13566,5237,40416,2970,33707,28462253.804583564,28745140.299591154,282886.49500758946,15051.44098111111,0.0,2026190.5123005887,4689710.099999999,60
287,0.5,135.18,49.35,87413,152605,34010,13601,5072,39429,2992,33651,28566136.79016393,28874289.02053515,308152.2303712182,33961.05079733927,0.0,2026190.5123005887,4689710.099999999,60
288,0.5,135.18,49.35,80771,156964,34055,13611,4916,38446,3003,33613,28674003.297169574,28975469.959286783,301466.6621172093,53314.11637073497,0.0,2026190.5123005887,4689710.099999999,60
289,0.5,135.18,49.35,77614,157875,34001,13645,32026,37505,2980,33576,28903013.76132829,29152751.142477337,249737.38114904612,31934.94213239316,0.0,2026190.5123005887,4689710.099999999,60
290,0.5,135.18,49.35,76728,156513,34037,13689,31058,36605,2948,33522,29008365.581018403,29196962.09494258,188596.51392417774,40431.322237561435,0.0,2026190.5123005887,4689710.099999999,60
291,0.5,135.18,49.35,75840,155232,34009,13731,25652,40224,2907,33493,29095644.546026006,29378139.59727795,282495.05125194415,43193.948707366275,0.0,2026190.5123005887,4689710.099999999,60
292,0.5,135.18,49.35,74974,154020,33978,13730,24880,39227,2872,33435,29193302.6905626,29436598.765501916,243296.074939318,33143.89952332596,0.0,2026190.5123005887,4689710.099999999,60
293,0.5,135.18,49.35,85636,152787,33986,13766,24129,38291,2831,33406,29280022.035035923,29582977.080699008,302955.04566308483,38164.804150304815,0.0,2026190.5123005887,4689710.099999999,60
294,0.5,135.18,49.35,95967,151573,33930,13779,23464,37364,2807,33362,29360845.75051769,29755364.85871193,394519.10819424316,20739.11323072834,0.0,2026190.5123005887,4689710.099999999,60
295,0.5,135.18,49.35,105865,150321,33921,13826,22808,36489,2772,33318,29450741.77164331,29869458.062144857,418716.2905015461,27909.796138412592,0.0,2026190.5123005887,4689710.099999999,60
296,0.5,135.18,49.35,104611,149088,33931,13853,22130,35619,2748,33284,29528465.800684866,30070437.25825521,541971.4575703442,14328.15506111111,0.0,2026190.5123005887,4689710.099999999,60
297,0.5,135.18,49.35,102606,148737,33977,13869,21543,34761,2716,33231,29628376.80793516,30170077.770402607,541700.9624674469,40036.80866355,0.0,2026190.5123005887,4689710.099999999,60
298,0.5,135.18,49.35,95634,153054,34189,13896,20939,33523,3115,33206,29698781.30606029,30375587.986729577,676806.6806692854,19357.69630228885,0.0,2026190.5123005887,4689710.099999999,60
299,0.5,135.18,49.35,89506,156796,34146,13958,20314,32424,3354,33164,29792888.14642932,30490837.46521435,697949.3187850304,20581.306666666664,0.0,2026190.5123005887,4689710.099999999,60
300,0.5,135.18,49.35,82532,161450,34199,13986,19707,31451,3536,33122,29871132.497068748,30610976.7412307,739844.2441619523,26013.13802825299,0.0,2026190.5123005887,4689710.099999999,60
301,0.5,135.18,49.35,79269,162250,34347,13985,25743,30736,3533,33069,30080184.484712243,30722375.355889454,642190.8711772114,16017.237180785662,0.0,2026190.5123005887,4689710.099999999,60
302,0.5,135.18,49.35,78265,160722,34573,14003,25016,30000,3490,33041,30144174.99811735,30916347.88074152,772172.8826241717,11888.588810654424,0.0,2026190.5123005887,4689710.099999999,60
303,0.5,135.18,49.35,77356,159145,34858,14017,6204,47418,3442,32993,30241416.68455677,30959818.384432763,718401.6998759918,24452.883151451457,0.0,2026190.5123005887,4689710.099999999,60
304,0.5,135.18,49.35,76500,157630,35042,14019,6018,46232,3396,32964,30296955.13598962,31119603.206680976,822648.0706913546,17835.86616914884,0.0,2026190.5123005887,4689710.099999999,60
305,0.5,135.18,49.35,86489,156388,35112,14031,5837,45075,3354,32930,30378037.943635363,31228288.33202974,850250.3883943781,5741.204497777778,0.0,2026190.5123005887,4689710.099999999,60
306,0.5,135.18,49.35,97124,155000,35177,14050,5657,43980,3309,32890,30451071.933456656,31339164.786538176,888092.8530815206,35280.9515050823,0.0,2026190.5123005887,4689710.099999999,60
307,0.5,135.18,49.35,107562,153636,35249,14078,5481,42926,3265,32858,30525814.960178226,31530076.254060768,1004261.2938825414,11567.300927571046,0.0,2026190.5123005887,4689710.099999999,60
308,0.5,135.18,49.35,106328,152432,35242,14092,5315,41933,3232,32809,30610584.406354208,31595285.33741359,984700.9310593829,18978.75905803383,0.0,2026190.5123005887,4689710.099999999,60
309,0.5,135.18,49.35,104193,152058,35223,14094,5147,40991,3195,32788,30682393.650021244,31777466.491093233,1095072.8410719894,12470.38589880795,0.0,2026190.5123005887,4689710.099999999,60
310,0.5,135.18,49.35,97111,156639,35299,14096,5020,39913,3264,32742,30780950.227471747,31844317.65304295,1063367.4255712032,30431.02974975897,0.0,2026190.5123005887,4689710.099999999,60
311,0.5,135.18,49.35,91163,160230,35320,14113,4885,38884,3299,32712,30871107.935629494,32050448.771204118,1179340.8355746232,39625.718394463154,0.0,2026190.5123005887,4689710.099999999,60
312,0.5,135.18,49.35,84311,164704,35284,14142,4744,37902,3321,32665,30978561.803188737,32136932.220790457,1158370.4176017195,33055.66989086891,0.0,2026190.5123005887,4689710.099999999,60
313,0.5,135.18,49.35,80927,165608,35383,14146,31143,37026,3283,32636,31201738.500019033,32245292.9812895,1043554.481270466,37193.81873869867,0.0,2026190.5123005887,4689710.099999999,60
314,0.5,135.18,49.35,79971,164130,35513,14156,30281,36118,3248,32599,31286592.4387026,32414196.473291956,1127604.0345893577,39550.77675922582,0.0,2026190.5123005887,4689710.099999999,60
315,0.5,135.18,49.35,79031,162508,35742,14169,24976,39659,3212,32543,31381324.379447546,32490346.999828905,1109022.620381359,26584.458005481123,0.0,2026190.5123005887,4689710.099999999,60
316,0.5,135.18,49.35,78170,160935,35931,14211,24250,38728,3167,32529,31458522.067787427,32730429.264056608,1271907.1962691806,22114.45467593308,0.0,2026190.5123005887,4689710.099999999,60
317,0.5,135.18,49.35,88479,159446,36061,14233,23533,37817,3109,32489,31553194.048434928,32759995.20594969,1206801.1575147621,24023.46328619726,0.0,2026190.5123005887,4689710.099999999,60
318,0.5,135.18,49.35,98527,158139,36068,14272,22861,36840,3057,32469,31630304.28405406,33005785.081460897,1375480.7974068373,33023.84732500615,0.0,2026190.5123005887,4689710.099999999,60
319,0.5,135.18,49.35,109299,156863,36019,14315,22262,35919,3004,32419,31722850.708141,33081086.44665592,1358235.7385149226,22399.711118917585,0.0,2026190.5123005887,4689710.099999999,60
320,0.5,135.18,49.35,108051,155583,35932,14359,21652,35106,2957,32386,31796417.013132606,33297936.129525214,1501519.1163926087,21625.24682277811,0.0,2026190.5123005887,4689710.099999999,60
321,0.5,135.18,49.35,105855,155163,35963,14412,21000,34295,2923,32338,31893015.929042853,33449319.152026005,1556303.2229831517,27351.657385251303,0.0,2026190.5123005887,4689710.099999999,60
322,0.5,135.18,49.35,98250,160236,36014,14417,20423,33099,3334,32299,31967667.674986362,33613288.76433947,1645621.089353107,12149.098772801945,0.0,2026190.5123005887,4689710.099999999,60
323,0.5,135.18,49.35,92280,163698,36104,14448,19853,31973,3599,32248,32054810.218997803,33702826.70891893,1648016.4899211265,8267.823832355703,0.0,2026190.5123005887,4689710.099999999,60
324,0.5,135.18,49.35,85543,167931,36164,14465,19282,30967,3777,32235,32139337.92021971,33892585.80230073,1753247.8820810206,22147.677937522178,0.0,2026190.5123005887,4689710.099999999,60
325,0.5,135.18,49.35,82217,168819,36170,14498,25155,30204,3764,32204,32359155.852754638,34007044.53362168,1647888.6808670461,27176.026020238707,0.0,2026190.5123005887,4689710.099999999,60
326,0.5,135.18,49.35,81234,167241,36289,14519,24441,29487,3710,32168,32441550.31409355,34147971.43896658,1706421.124873031,30947.148581997862,0.0,2026190.5123005887,4689710.099999999,60
327,0.5,135.18,49.35,80326,165558,36544,14562,6017,46545,3660,32121,32530957.567549556,34222117.99214713,1691160.4245975763,26160.97959172676,0.0,2026190.5123005887,4689710.099999999,60
328,0.5,135.18,49.35,79386,163871,36736,14595,5840,45487,3605,32087,32614615.65282215,34368913.47066354,1754297.8178413883,31092.2305717383,0.0,2026190.5123005887,4689710.099999999,60
329,0.5,135.18,49.35,90255,162413,36865,14642,5685,44408,3552,32042,32718498.72023734,34433287.0442888,1714788.3240514584,31832.097314974377,0.0,2026190.5123005887,4689710.099999999,60
330,0.5,135.18,49.35,100744,160989,36857,14662,5504,43327,3510,32015,32791226.131868165,34580770.46163198,1789544.3297638185,21865.814167751756,0.0,2026190.5123005887,4689710.099999999,60
331,0.5,135.18,49.35,110923,159763,36854,14686,5345,42240,3468,31983,32868308.329959594,34781697.82588308,1913389.4959234893,14111.729946912836,0.0,2026190.5123005887,4689710.099999999,60
332,0.5,135.18,49.35,109703,158435,36785,14710,5191,41176,3428,31943,32941409.469544984,34884827.81906333,1943418.3495183438,19404.300638746437,0.0,2026190.5123005887,4689710.099999999,60
333,0.5,135.18,49.35,107401,158230,36718,14753,5053,40216,3394,31915,33023751.62638461,35053792.78651617,2030041.1601315588,27712.2439704869,0.0,2026190.5123005887,4689710.099999999,60
334,0.5,135.18,49.35,99651,163326,36796,14772,4903,39166,3436,31871,33116584.58693009,35098225.57002753,1981640.9830974415,35074.71021219325,0.0,2026190.5123005887,4689710.099999999,60
335,0.5,135.18,49.35,93285,167105,36860,14799,4771,38166,3459,31851,33190908.74265998,35270839.5201072,2079930.7774472237,21859.233780879138,0.0,2026190.5123005887,4689710.099999999,60
336,0.5,135.18,49.35,86232,171655,36856,14833,4615,37213,3480,31814,33290660.231780414,35386009.24148397,2095349.009703558,36217.84866011034,0.0,2026190.5123005887,4689710.099999999,60
337,0.5,135.18,49.35,82813,172441,36945,14889,30331,36348,3454,31784,33499918.902787734,35598096.822961465,2098177.9201737307,16732.972674549943,0.0,2026190.5123005887,4689710.099999999,60
338,0.5,135.18,49.35,81906,170899,37113,14917,29481,35475,3406,31736,33578462.61302618,35757745.96296534,2179283.34993916,4118.063645376228,0.0,2026190.5123005887,4689710.099999999,60
339,0.5,135.18,49.35,80948,169153,37401,14920,24360,38912,3365,31712,33646553.0067868,35931574.03854851,2285021.031761706,25519.910695764724,0.0,2026190.5123005887,4689710.099999999,60
340,0.5,135.18,49.35,80037,167737,37359,14976,23693,37974,3328,31661,33751534.20457965,36086040.974932626,2334506.7703529745,31099.543774245536,0.0,2026190.5123005887,4689710.099999999,60
341,0.5,135.18,49.35,91189,166092,37546,15002,23013,37010,3271,31620,33833701.68895205,36198900.93548944,2365199.2465373874,17838.8064521145,0.0,2026190.5123005887,4689710.099999999,60
342,0.5,135.18,49.35,102070,164772,37456,15069,22327,36117,3238,31591,33911736.44643678,36427703.8158181,2515967.3693813235,33492.14737706748,0.0,2026190.5123005887,4689710.099999999,60
343,0.5,135.18,49.35,112628,163474,37489,15089,21688,35302,3199,31541,34015100.42294442,36567747.708625905,2552647.285681486,36813.39052211189,0.0,2026190.5123005887,4689710.099999999,60
344,0.5,135.18,49.35,111303,162218,37414,15106,21054,34464,3152,31513,34111166.18847663,36707135.827772595,2595969.6392959654,41352.426240830406,0.0,2026190.5123005887,4689710.099999999,60
345,0.5,135.18,49.35,109144,161721,37507,15110,20459,33689,3115,31479,34217162.70522083,36840081.38422568,2622918.679004848,33621.082677501545,0.0,2026190.5123005887,4689710.099999999,60
346,0.5,135.18,49.35,101618,166444,37607,15121,19860,32433,3537,31450,34302147.2776505,36982848.16920882,2680700.8915583193,28693.737647510676,0.0,2026190.5123005887,4689710.099999999,60
347,0.5,135.18,49.35,95139,170362,37624,15138,19288,31407,3819,31424,34393794.77372477,37189087.180228226,2795292.406503454,28439.335302543932,0.0,2026190.5123005887,4689710.099999999,60
348,0.5,135.18,49.35,87858,175128,37715,15156,18779,30456,3982,31381,34491354.11945198,37309830.180413954,2818476.0609619766,31338.772179719876,0.0,2026190.5123005887,4689710.099999999,60
349,0.5,135.18,49.35,84279,175943,37945,15179,24581,29693,3970,31351,34700449.011537135,37492920.179487534,2792471.167950399,11083.858261120102,0.0,2026190.5123005887,4689710.099999999,60
350,0.5,135.18,49.35,83319,174239,38129,15209,23862,29019,3918,31305,34777353.16586623,37616024.21146147,2838671.045595236,23214.402119332557,0.0,2026190.5123005887,4689710.099999999,60
351,0.5,135.18,49.35,82326,172510,38454,15225,5902,45599,3864,31288,34850787.54970291,37830991.57696815,2980204.027265236,14556.920050941892,0.0,2026190.5123005887,4689710.099999999,60
352,0.5,135.18,49.35,81388,170935,38608,15251,5743,44519,3801,31246,34929521.41875341,37900741.31560661,2971219.896853201,14595.310988830795,0.0,2026190.5123005887,4689710.099999999,60
353,0.5,135.18,49.35,91930,169318,38760,15273,5577,43385,3746,31225,35001338.03372079,38083452.5876678,3082114.553947009,21247.049942742477,0.0,2026190.5123005887,4689710.099999999,60
354,0.5,135.18,49.35,103125,167966,38647,15299,5408,42333,3702,31180,35089165.96102407,38208089.18168567,3118923.220661603,23279.496060688794,0.0,2026190.5123005887,4689710.099999999,60
355,0.5,135.18,49.35,114130,166788,38526,15331,5266,41286,3661,31152,35165219.55993076,38390650.42881185,3225430.8688810915,32239.37155339741,0.0,2026190.5123005887,4689710.099999999,60
356,0.5,135.18,49.35,112734,165395,38545,15344,5112,40319,3616,31119,35273302.23612242,38502596.266909875,3229294.030787453,40715.71450753327,0.0,2026190.5123005887,4689710.099999999,60
357,0.5,135.18,49.35,110454,164862,38622,15383,4966,39341,3571,31098,35370346.63204505,38651214.93894156,3280868.3068965077,40962.53536593933,0.0,2026190.5123005887,4689710.099999999,60
358,0.5,135.18,49.35,102778,169818,38603,15419,4804,38323,3629,31062,35484627.35778917,38844575.97156603,3359948.613776855,40984.20527170795,0.0,2026190.5123005887,4689710.099999999,60
359,0.5,135.18,49.35,96482,173595,38557,15439,4665,37337,3644,31020,35580790.02425193,38912366.08380651,3331576.059554577,34992.48611868203,0.0,2026190.5123005887,4689710.099999999,60
360,0.5,135.18,49.35,89065,178406,38607,15447,4527,36436,3653,31000,35660253.182623856,39142675.0385189,3482421.8558950424,28843.714579541702,0.0,2026190.5123005887,4689710.099999999,60
361,0.5,135.18,49.35,85481,179324,38653,15487,29572,35583,3614,30952,35877646.89891647,39255939.57843247,3378292.6795160025,24173.48792250546,0.0,2026190.5123005887,4689710.099999999,60
362,0.5,135.18,49.35,84498,177653,38905,15506,28640,34763,3570,30914,35953041.43918911,39436851.91986919,3483810.4806800783,13777.744482502772,0.0,2026190.5123005887,4689710.099999999,60
363,0.5,135.18,49.35,83535,175867,39225,15539,23659,38116,3521,30876,36043556.7863464,39535208.679706946,3491651.8933605477,24702.604090715384,0.0,2026190.5123005887,4689710.099999999,60
364,0.5,135.18,49.35,82540,174036,39428,15569,22966,37143,3489,30855,36105501.42099032,39629460.37655119,3523958.9555608705,10831.547090196367,0.0,2026190.5123005887,4689710.099999999,60
365,0.5,135.18,49.35,93504,172444,39668,15585,22281,36191,3451,30835,36187939.83507507,39809313.239195734,3621373.4041206613,21323.538829435245,0.0,2026190.5123005887,4689710.099999999,60
366,0.5,135.18,49.35,104180,171078,39571,15611,21620,35310,3413,30784,36263463.534118846,39877212.7060121,3613749.171893254,14117.104521119652,0.0,2026190.5123005887,4689710.099999999,60
367,0.5,135.18,49.35,115408,169722,39523,15628,20981,34468,3372,30746,36329192.51135275,40067356.83876125,3738164.3274085,21987.139126036094,0.0,2026190.5123005887,4689710.099999999,60
368,0.5,135.18,49.35,114044,168297,39507,15650,20367,33674,3325,30705,36393033.34714059,40468336.46908668,4075303.121946089,10061.753396640786,0.0,2823677.0917479047,4689710.099999999,60
369,0.5,135.18,49.35,111717,167934,39469,15674,19779,32931,3280,30663,36617712.610051535,42128798.95637785,5511086.346326314,33866.34025312656,0.0,3236588.0582402046,6018461.294999998,77
370,0.5,135.18,49.35,103753,173168,39504,15698,19218,31767,3692,30609,36728750.460480615,42452159.694974035,5723409.2344934195,22411.04621198969,0.0,3256294.245732892,6096623.129999998,78
371,0.5,135.18,49.35,97410,176788,39612,15715,18668,30759,3941,30557,36850493.568375,42599471.294452034,5748977.726077035,54680.0489475038,0.0,3256294.245732892,6096623.129999998,78
372,0.5,135.18,49.35,90175,181224,39608,15721,18119,29729,4174,30523,36937130.59367325,42877052.48352425,5939921.889850996,33345.93193710574,0.0,3256294.245732892,6096623.129999998,78
373,0.5,135.18,49.35,86648,182030,39722,15734,23783,28940,4170,30482,37182011.21454381,42960652.878821224,5778641.664277412,36397.039873417045,0.0,3256294.245732892,6096623.129999998,78
374,0.5,135.18,49.35,85600,180303,39945,15758,23113,28287,4118,30470,37260959.38729632,43137466.69300902,5876507.3057127,28240.76373583133,0.0,3256294.245732892,6096623.129999998,78
375,0.5,135.18,49.35,84595,178513,40253,15790,5871,44245,4057,30430,37358766.28296154,43184863.94183061,5826097.658869073,35180.98248919114,0.0,3256294.245732892,6096623.129999998,78
376,0.5,135.18,49.35,83655,176891,40372,15811,5717,43146,4012,30408,37429742.63850809,43402859.21587057,5973116.577362478,20431.643184632645,0.0,3256294.245732892,6096623.129999998,78
377,0.5,135.18,49.35,94931,175351,40457,15835,5531,42104,3960,30365,37514722.605736904,43537725.94184739,6023003.336110488,28679.42603128239,0.0,3256294.245732892,6096623.129999998,78
378,0.5,135.18,49.35,105949,173908,40362,15864,5362,41062,3917,30344,37584102.63775581,43676681.92759125,6092579.289835438,22101.152376747013,0.0,3306644.4580922057,6096623.129999998,78
379,0.5,135.18,49.35,116770,172410,40320,15908,5203,40132,3873,30300,37688123.54377989,43912911.44468165,6224787.900901765,34927.67892593085,0.0,3335903.5112857088,6252946.799999998,80
380,0.5,135.18,49.35,115406,170882,40358,15933,5045,39128,3832,30286,37777604.89788017,44139505.3677797,6361900.469899535,29379.950670000002,0.0,3335903.5112857088,6252946.799999998,80
381,0.5,135.18,49.35,113061,170496,40392,15955,4910,38148,3794,30243,37882539.9628089,44211227.81666456,6328687.853855662,20653.47664333333,0.0,3335903.5112857088,6252946.799999998,80
382,0.5,135.18,49.35,104902,175956,40407,15978,4788,37100,3851,30225,37955384.17227747,44450585.06349912,6495200.89122165,35944.90659657347,0.0,3359793.1454214673,6252946.799999998,80
383,0.5,135.18,49.35,98268,179973,40366,16006,4645,36156,3870,30186,38063072.45648151,44549795.19824523,6486722.741763718,31376.87306923016,0.0,3386194.544190736,6331108.634999998,81
384,0.5,135.18,49.35,90799,184608,40420,16031,4509,35235,3884,30165,38137211.74069259,44733530.48771242,6596318.747019827,12613.046172222223,0.0,3386194.544190736,6331108.634999998,81
