cycle,investor_percent_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,partners_earning,independent_earning,investor_total_profit,total_investment_cost,total_investments
32,0.5,135.18,148.05,43894,3498,48686,7798,21259,0,25650,29392,4563468.839681308,3594645.664399157,-968823.175282151,75081.68994666665,0.0,493442.5003226652,2344855.0499999993,30
33,0.5,135.18,148.05,43377,3760,48509,7804,20688,0,25506,29343,4684888.716504801,3616551.8610385396,-1068336.8554662615,46128.598285,0.0,493442.5003226652,2344855.0499999993,30
34,0.5,135.18,148.05,42913,3839,48231,7885,20101,0,25352,29315,4734405.663042352,3655912.8136353986,-1078492.849406953,1135.7083196578506,0.0,493442.5003226652,2344855.0499999993,30
35,0.5,135.18,148.05,42425,4079,48031,7919,19552,0,25215,29281,4809567.174145997,3738727.447956763,-1070839.7261892334,18372.98177680753,0.0,493442.5003226652,2344855.0499999993,30
36,0.5,135.18,148.05,41922,4337,47852,7932,19007,0,25082,29239,4893054.374581292,3800089.323308527,-1092965.0512727653,33191.09359273277,0.0,493442.5003226652,2344855.0499999993,30
37,0.5,135.18,148.05,41450,4566,47689,7932,20515,0,24942,29205,5100454.123847311,3879684.555965057,-1220769.5678822543,14295.482326260888,0.0,493442.5003226652,2344855.0499999993,30
38,0.5,135.18,148.05,40976,4794,47504,7955,19914,0,24807,29171,5180686.139013686,3963930.150315765,-1216755.9886979214,27029.232183163513,0.0,493442.5003226652,2344855.0499999993,30
39,0.5,135.18,148.05,40537,5003,47281,8011,1895,17453,24517,29286,5248952.157222175,3988358.0542758666,-1260594.1029463084,15563.784732412385,0.0,493442.5003226652,2344855.0499999993,30
40,0.5,135.18,148.05,40041,5224,47111,8010,1834,16950,24390,29253,5329426.970654912,4057563.265796507,-1271863.7048584055,20291.031814242422,0.0,493442.5003226652,2344855.0499999993,30
41,0.5,135.18,148.05,46884,5404,46958,8017,1780,16474,24243,29215,5405030.757781709,4077494.5653010528,-1327536.1924806559,493.95135999999997,0.0,493442.5003226652,2344855.0499999993,30
42,0.5,135.18,148.05,52074,5459,46738,8073,1717,16086,24126,29195,5453195.88890782,4159096.039017762,-1294099.849890058,19424.611651911007,0.0,493442.5003226652,2344855.0499999993,30
43,0.5,135.18,148.05,55276,5735,46453,8218,1672,15643,23988,29149,5548599.873698593,4251037.02832716,-1297562.8453714335,43629.482057864814,0.0,493442.5003226652,2344855.0499999993,30
44,0.5,135.18,148.05,54637,5902,46294,8222,1624,15239,23846,29109,5646463.497273691,4284364.693825469,-1362098.8034482216,49210.1983200508,0.0,493442.5003226652,2344855.0499999993,30
45,0.5,135.18,148.05,53191,6934,46141,8224,1571,14817,23697,29079,5751910.629026823,4398124.892980217,-1353785.7360466057,38023.213779797974,0.0,493442.5003226652,2344855.0499999993,30
46,0.5,135.18,148.05,47700,12037,45976,8222,1533,14399,23570,29024,5863789.099440419,4452740.1955541205,-1411048.9038862986,49526.905099766125,0.0,493442.5003226652,2344855.0499999993,30
47,0.5,135.18,148.05,44179,15143,45831,8231,1484,13980,23450,28984,5962409.7275980115,4538295.92287148,-1424113.8047265317,41765.52299557236,0.0,493442.5003226652,2344855.0499999993,30
48,0.5,135.18,148.05,41270,17590,45664,8232,1444,13641,23329,28952,6045703.427555368,4575100.927886481,-1470602.499668887,13785.200589999999,0.0,493442.5003226652,2344855.0499999993,30
49,0.5,135.18,148.05,40146,18220,45509,8234,26924,13278,23204,28923,6238751.178582544,4669470.976928604,-1569280.2016539406,1042.7862044444444,0.0,493442.5003226652,2344855.0499999993,30
50,0.5,135.18,148.05,39630,18256,45370,8235,26076,12926,23094,28880,6292308.290643503,4731222.558654854,-1561085.731988649,6584.824025456705,0.0,493442.5003226652,2344855.0499999993,30
51,0.5,135.18,148.05,39159,18332,45194,8245,23975,13865,22962,28869,6361166.701247869,4809877.792364714,-1551288.9088831553,26262.410768027527,0.0,493442.5003226652,2344855.0499999993,30
52,0.5,135.18,148.05,38716,18395,45020,8279,23282,13524,22639,29031,6452572.894190425,4881904.350411683,-1570668.5437787417,25291.568579935953,0.0,493442.5003226652,2344855.0499999993,30
53,0.5,135.18,148.05,46434,18516,44866,8271,22598,13180,22518,28998,6536414.808281685,4938421.278946655,-1597993.5293350304,23698.9305475699,0.0,493442.5003226652,2344855.0499999993,30
54,0.5,135.18,148.05,53485,18534,44706,8278,21902,12808,22406,28963,6602652.520346475,5023694.566202152,-1578957.9541443232,12357.928436837605,0.0,493442.5003226652,2344855.0499999993,30
55,0.5,135.18,148.05,58984,18677,44551,8294,21280,12467,22282,28918,6683015.360983228,5122821.581438464,-1560193.7795447642,21980.744572320884,0.0,493442.5003226652,2344855.0499999993,30
56,0.5,135.18,148.05,58319,18654,44382,8342,20620,12137,22161,28873,6745868.859541836,5147240.297415247,-1598628.562126589,6564.333023913829,0.0,493442.5003226652,2344855.0499999993,30
57,0.5,135.18,148.05,57568,18735,44220,8346,20060,11862,22045,28844,6809936.744667158,5259353.988539501,-1550582.7561276574,14255.328899059828,0.0,493442.5003226652,2344855.0499999993,30
58,0.5,135.18,148.05,55752,20059,44058,8363,19438,11568,21917,28793,6897379.483639103,5327626.316897977,-1569753.1667411262,32287.356551846766,0.0,493442.5003226652,2344855.0499999993,30
59,0.5,135.18,148.05,51901,23313,43878,8392,18850,11279,21824,28764,6980072.73463921,5399008.52243524,-1581064.2122039692,33031.980742328655,0.0,493442.5003226652,2344855.0499999993,30
60,0.5,135.18,148.05,47266,27464,43697,8462,18320,11004,21736,28722,7097131.414832862,5470241.329076033,-1626890.085756829,43576.77739333333,0.0,493442.5003226652,2344855.0499999993,30
61,0.5,135.18,148.05,45101,29038,43548,8468,21261,10706,21637,28678,7314508.577872543,5532283.5313095255,-1782225.0465630172,35639.836139882325,0.0,493442.5003226652,2344855.0499999993,30
62,0.5,135.18,148.05,44590,29059,43391,8481,20647,10436,21524,28643,7401090.904298196,5598341.503336907,-1802749.4009612883,24799.05340787555,0.0,493442.5003226652,2344855.0499999993,30
63,0.5,135.18,148.05,44110,29038,43217,8512,3294,26915,20433,29575,7483624.974687706,5627456.436787029,-1856168.537900677,17292.665969444446,0.0,493442.5003226652,2344855.0499999993,30
64,0.5,135.18,148.05,43605,28920,43013,8565,3206,26205,19873,30006,7550393.4117617905,5697994.684712769,-1852398.727049021,15432.193331384897,0.0,493442.5003226652,2344855.0499999993,30
65,0.5,135.18,148.05,48110,28858,42849,8608,3118,25478,18593,31144,7610857.521647265,5721510.982282727,-1889346.5393645382,10886.176536666666,0.0,493442.5003226652,2344855.0499999993,30
66,0.5,135.18,148.05,56019,28845,42715,8609,3027,24803,18335,31257,7673230.135241712,5819902.0674602045,-1853328.067781508,20904.497134956906,0.0,493442.5003226652,2344855.0499999993,30
67,0.5,135.18,148.05,63321,28864,42570,8627,2927,24168,18228,31217,7767019.414507269,5883379.122914139,-1883640.2915931297,30358.58525538424,0.0,493442.5003226652,2344855.0499999993,30
68,0.5,135.18,148.05,62590,28831,42392,8665,2846,23504,18138,31184,7838914.26834836,5940370.794061514,-1898543.4742868468,16903.128321091513,0.0,493442.5003226652,2344855.0499999993,30
69,0.5,135.18,148.05,61408,29318,42219,8684,2765,22882,18038,31151,7922059.248031778,6030208.96830696,-1891850.2797248187,16063.621262264303,0.0,493442.5003226652,2344855.0499999993,30
70,0.5,135.18,148.05,57920,32042,42061,8701,2680,22247,17929,31125,7995562.002896027,6083997.69861909,-1911564.3042769367,14458.49960257262,0.0,493442.5003226652,2344855.0499999993,30
71,0.5,135.18,148.05,55356,33855,41931,8712,2585,21656,17829,31089,8063793.1830168385,6176709.287012933,-1887083.8960039057,3340.0520533333333,0.0,493442.5003226652,2344855.0499999993,30
72,0.5,135.18,148.05,51475,36961,41772,8740,2496,21080,17737,31033,8131110.129592679,6213222.75400992,-1917887.3755827593,12268.89388850526,0.0,493442.5003226652,2344855.0499999993,30
73,0.5,135.18,148.05,49075,38616,41583,8803,27516,20582,17647,30999,8332219.022136014,6340910.694331589,-1991308.3278044248,21224.600086023627,0.0,493442.5003226652,2344855.0499999993,30
74,0.5,135.18,148.05,48455,38569,41444,8808,26696,20026,17538,30956,8424476.187137533,6415523.379170606,-2008952.807966927,37112.96199429256,0.0,493442.5003226652,2344855.0499999993,30
75,0.5,135.18,148.05,47927,38440,41315,8817,23628,21801,17439,30923,8500610.13306339,6518601.89948937,-1982008.2335740207,33069.502335958954,0.0,493442.5003226652,2344855.0499999993,30
76,0.5,135.18,148.05,47381,38405,41158,8838,22920,21212,16296,31936,8607853.072077285,6610432.383610202,-1997420.6884670835,40036.16683498777,0.0,493442.5003226652,2344855.0499999993,30
77,0.5,135.18,148.05,53607,38288,40959,8899,22253,20655,15308,32783,8692627.710786866,6655114.584068629,-2037513.126718237,23801.893956424297,0.0,493442.5003226652,2344855.0499999993,30
78,0.5,135.18,148.05,58648,38157,40824,8905,21617,20149,14661,33293,8767311.693909915,6771185.426321874,-1996126.2675880408,15260.699936381769,0.0,493442.5003226652,2344855.0499999993,30
79,0.5,135.18,148.05,66809,38083,40708,8908,21045,19626,14459,33353,8835139.681636814,6771185.426321874,-2063954.2553149397,2060.2689842424243,0.0,493442.5003226652,2344855.0499999993,30
80,0.5,135.18,148.05,66052,37879,40558,8924,20443,19152,14326,33368,8890719.80087641,6845522.373759482,-2045197.4271169286,12126.887181029899,0.0,493442.5003226652,2344855.0499999993,30
81,0.5,135.18,148.05,64691,38472,40423,8967,19799,18703,14170,33409,8975638.655388178,6933591.41011334,-2042047.245274838,23011.288871557532,0.0,493442.5003226652,2344855.0499999993,30
82,0.5,135.18,148.05,59879,42398,40250,9004,19241,18247,14047,33407,9052360.387250192,7004717.037774752,-2047643.3494754406,28252.197244376028,0.0,493442.5003226652,2344855.0499999993,30
83,0.5,135.18,148.05,56586,44889,40159,9014,18688,17811,13979,33382,9137587.910032313,7109956.637726876,-2027631.2723054374,17960.41476434254,0.0,493442.5003226652,2344855.0499999993,30
84,0.5,135.18,148.05,53448,47178,39994,9057,18184,17373,13899,33322,9226426.522197783,7150331.665174209,-2076094.8570235744,21888.11526680848,0.0,493442.5003226652,2344855.0499999993,30
85,0.5,135.18,148.05,51951,47876,39772,9134,23454,16960,13825,33296,9432406.839564595,7253498.936674272,-2178907.9028903237,13415.818455448336,0.0,493442.5003226652,2344855.0499999993,30
86,0.5,135.18,148.05,51367,47603,39603,9243,22800,16563,13746,33248,9511516.441541497,7280768.6686387975,-2230747.772902699,18930.707965439888,0.0,493442.5003226652,2344855.0499999993,30
87,0.5,135.18,148.05,50784,47228,39596,9245,5449,32881,13672,33211,9558936.161119629,7372114.432782232,-2186821.728337397,6064.625031111112,0.0,493442.5003226652,2344855.0499999993,30
88,0.5,135.18,148.05,50198,46898,39615,9243,5306,32027,13596,33160,9633523.315957632,7431344.66155426,-2202178.6544033717,11202.111200000001,0.0,493442.5003226652,2344855.0499999993,30
89,0.5,135.18,148.05,57920,46760,39488,9254,5140,31173,13534,33124,9714938.861464543,7547296.444810532,-2167642.4166540112,22961.936180147062,0.0,493442.5003226652,2344855.0499999993,30
90,0.5,135.18,148.05,64564,46130,39778,9281,5001,30373,13462,33069,9792021.324040983,7577866.322027578,-2214155.002013405,12489.841753808707,0.0,493442.5003226652,2344855.0499999993,30
91,0.5,135.18,148.05,69971,45819,39775,9279,4829,29559,13396,33034,9850858.628676489,7667735.997727206,-2183122.630949283,16956.551370785044,0.0,493442.5003226652,2344855.0499999993,30
92,0.5,135.18,148.05,69215,45638,39650,9287,4708,28849,13336,32978,9928094.430847166,7731727.098562136,-2196367.33228503,9607.109152934814,0.0,493442.5003226652,2344855.0499999993,30
93,0.5,135.18,148.05,67754,46103,39509,9308,4573,28083,13273,32938,9998193.585043298,7819855.921307968,-2178337.66373533,10607.768571250972,0.0,493442.5003226652,2344855.0499999993,30
94,0.5,135.18,148.05,62359,50458,39357,9347,4448,27344,13208,32904,10067198.832886849,7849281.966024547,-2217916.8668623017,493.95135999999997,0.0,493442.5003226652,2344855.0499999993,30
95,0.5,135.18,148.05,58258,53563,39234,9366,4336,26630,13043,32959,10126539.074286817,7936664.572343938,-2189874.5019428786,16928.79283060962,0.0,493442.5003226652,2344855.0499999993,30
96,0.5,135.18,148.05,54010,56954,39099,9389,4227,26003,12899,32991,10212848.986158993,8033828.163241387,-2179020.8229176058,27367.150812347812,0.0,493442.5003226652,2344855.0499999993,30
97,0.5,135.18,148.05,52021,58001,38978,9408,30646,25373,12782,32990,10440399.763068365,8063482.896723199,-2376916.866345166,43823.12108221772,0.0,493442.5003226652,2344855.0499999993,30
98,0.5,135.18,148.05,51421,57724,38837,9436,29802,24769,12063,33611,10515815.18916541,8216367.06552997,-2299448.123635439,19821.821190151197,0.0,493442.5003226652,2344855.0499999993,30
99,0.5,135.18,148.05,50822,57382,38683,9460,25080,28123,11499,34061,10612191.558028836,8226815.697415353,-2385375.860613483,39118.17835448244,0.0,493442.5003226652,2344855.0499999993,30
100,0.5,135.18,148.05,50239,56979,38696,9465,24316,27445,11395,34072,10691804.020237952,8364114.503835274,-2327689.5164026786,30336.1367711111,0.0,493442.5003226652,2344855.0499999993,30
101,0.5,135.18,148.05,58671,56690,38587,9470,23653,26792,11335,34005,10777302.48630762,8369324.346515734,-2407978.1397918854,16449.812458333334,0.0,493442.5003226652,2344855.0499999993,30
102,0.5,135.18,148.05,66533,56414,38458,9490,23021,26112,11266,33968,10832744.0334341,8488123.849644646,-2344620.1837894544,13995.288533333332,0.0,493442.5003226652,2344855.0499999993,30
