cycle,investment_rotation_years,nursery_count,police_count,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,partners_earning,independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees
Sheet0,5,1,1,73558,125216,23476,13857,4859,41129,3925,37447,50336784.9,142598096.4,92261311.47,18049617.55,0,20351896.48,5935860.98,98,834
Sheet1,5,1,3,73395,125034,23404,13940,4807,41053,3881,37736,46262327.66,139393208.9,93130881.21,14061323.88,0,19836064.5,5996430.99,99,924
Sheet2,5,4,1,73796,125571,23213,13838,4875,41246,3909,37674,47354576.55,146276233.1,98921656.59,12693458.91,0,19990642.36,5935860.98,98,957
Sheet3,5,4,3,74161,125489,23518,13915,4785,41315,3913,37510,47198626.03,145249405.6,98050779.61,12964409.05,0,20628874.6,6057001,100,967
Sheet4,15,1,1,74423,125361,22829,13881,5098,41656,3800,37973,40095304.81,80545186.66,40449881.84,14817043.25,0,10729215.76,6690236.4,40,515
Sheet5,15,1,3,74340,124356,22960,13965,4994,41669,3829,37862,37082988.55,82248573.78,45165585.22,13460743.15,0,11522187.84,6690236.4,40,569
Sheet6,15,4,1,74847,125824,23124,13935,4963,41511,3882,37954,39804763.33,83384782,43580018.67,13603187.4,0,10940751.12,6690236.4,40,539
Sheet7,15,4,3,74770,125963,22852,13896,5007,41256,3758,37860,38352435.85,84723819.26,46371383.41,13108758.9,0,11530602.22,6690236.4,40,569
