seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
10.0,188,15,3,1,15,5,90.12,98.7,0.4,82157,84042,27920,10997,5230,41124,4073,34867,10823878.068362677,8915833.543326706,-1908044.5250359718,6674538.977463821,126548080.83096518,347,1586,432,4429390.629630309,836279.55,5,10,true
10.0,188,15,1,3,30,5,45.06,49.35,0.4,69221,79600,27121,8968,4469,34101,3734,27369,8788953.797408214,4097841.6380453897,-4691112.159362825,7307717.425295052,230563600.89242837,423,1325,2333,1256818.7656718565,836279.55,5,0,true
10.0,188,15,1,3,30,5,90.12,98.7,0.4,69221,79600,27121,8968,4469,34101,3734,27369,8788953.797408214,7359403.726090779,-1429550.0713174352,9199320.870756349,461127201.78485674,423,1325,2333,2513637.531343713,836279.55,5,0,true
10.0,188,15,1,3,15,5,45.06,49.35,0.4,80866,83389,27588,10862,5210,40675,3925,34534,9358106.30028948,4350561.734717023,-5007544.565572457,6012871.726601746,63408636.897882044,373,1301,551,2200249.9985740236,836279.55,5,11,true
10.0,188,15,1,3,15,5,90.12,98.7,0.4,80866,83389,27588,10862,5210,40675,3925,34534,9358106.30028948,7864843.919434044,-1493262.3808554364,6440741.027681878,126817273.79576409,373,1301,551,4400499.997148047,836279.55,5,11,true
10.0,188,15,1,1,30,5,45.06,49.35,0.4,73598,82628,28331,9660,4655,36633,3823,30226,10538699.846666757,4433211.957979597,-6105487.88868716,8633534.8944895,160358575.5149269,675,1519,1779,1703979.192250799,836279.55,5,0,true
10.0,188,15,1,1,30,5,90.12,98.7,0.4,72017,82169,28924,9404,4599,35835,3796,28857,9839191.365473466,7733210.604196602,-2105980.7612768644,10740839.363754455,396089791.6785047,683,1451,2011,3012046.702151476,836279.55,5,0,true
10.0,188,15,1,1,15,5,45.06,49.35,0.4,81324,83964,27943,10927,5075,40258,4007,34329,9231517.920094745,4166370.035605269,-5065147.884489477,6252528.447463186,69570621.16658333,338,1331,544,1954661.0664250194,836279.55,5,10,true
10.0,188,15,1,1,15,5,90.12,98.7,0.4,81324,83964,27943,10927,5075,40258,4007,34329,9231517.920094745,7496460.521210537,-1735057.398884208,6756837.896883177,139141242.33316666,338,1331,544,3909322.132850039,836279.55,5,10,true
10.0,128,10,3,3,30,15,45.06,49.35,0.4,76343,55616,34398,10370,22865,31042,8339,35392,17608990.937100347,8463610.410531387,-9145380.52656896,11740859.987288173,0.0,398,2613,0,5417206.67177281,1708694.3999999997,15,124,true
10.0,128,10,3,3,30,15,90.12,98.7,0.4,76343,55616,34398,10370,22865,31042,8339,35392,17608990.937100347,15218526.421062775,-2390464.516037572,11740859.987288173,0.0,398,2613,0,10834413.34354562,1708694.3999999997,15,124,true
10.0,128,10,3,3,15,15,45.06,49.35,0.4,75752,55100,34341,10366,23000,31186,8429,35632,16809088.3002178,5462502.174413456,-11346586.125804344,5732650.177861193,0.0,1828,1365,0,1933804.2469797228,1708694.3999999997,15,235,true
10.0,128,10,3,3,15,15,90.12,98.7,0.4,75752,55100,34341,10366,23000,31186,8429,35632,16809088.3002178,9216309.948826913,-7592778.351390887,5732650.177861193,0.0,1828,1365,0,3867608.4939594455,1708694.3999999997,15,235,true
10.0,128,10,3,1,30,15,45.06,49.35,0.4,76191,55681,34414,10345,22908,31125,8325,35489,17339336.035494242,8133495.729266651,-9205840.30622759,11805669.858505175,0.0,377,2621,0,4967901.982602525,1708694.3999999997,15,137,true
10.0,128,10,3,1,30,15,90.12,98.7,0.4,76191,55681,34414,10345,22908,31125,8325,35489,17339336.035494242,14558297.0585333,-2781038.976960942,11805669.858505175,0.0,377,2621,0,9935803.96520505,1708694.3999999997,15,137,true
10.0,128,10,3,1,15,15,45.06,49.35,0.4,76133,55054,34309,10376,22904,30901,8433,35498,16789411.066214107,5421524.19272378,-11367886.873490326,5876341.685780216,0.0,1826,1363,0,1879166.9380601547,1708694.3999999997,15,236,true
10.0,128,10,3,1,15,15,90.12,98.7,0.4,76133,55054,34309,10376,22904,30901,8433,35498,16789411.066214107,9134353.98544756,-7655057.0807665475,5876341.685780216,0.0,1826,1363,0,3758333.8761203093,1708694.3999999997,15,236,true
10.0,128,10,1,3,30,15,45.06,49.35,0.4,76203,55456,34499,10377,22902,31045,8389,35377,16655944.355268303,8381857.034991367,-8274087.3202769365,11803190.10603768,0.0,263,2531,0,5985264.823256126,1708694.3999999997,15,109,true
10.0,128,10,1,3,30,15,90.12,98.7,0.4,76203,55456,34499,10377,22902,31045,8389,35377,16655944.355268303,15055019.669982735,-1600924.6852855682,11803190.10603768,0.0,263,2531,0,11970529.646512251,1708694.3999999997,15,109,true
10.0,128,10,1,3,15,15,45.06,49.35,0.4,75751,54803,34259,10329,23008,31084,8354,35595,15791708.736086424,5427287.11229481,-10364421.623791615,6015859.112844505,0.0,1624,1331,0,2573065.2638421734,1708694.3999999997,15,217,true
