PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot200,78.1637,45.1053
plot201,91.8786,43.0955
plot202,82.5321,53.4978
plot203,78.1949,48.0228
plot204,70.707,39.2658
plot205,88.4358,61.4252
plot206,76.0663,45.4438
plot207,69.0443,37.4408
plot208,73.6809,42.6383
plot209,77.3862,47.0345
plot210,73.2204,42.107
plot211,73.4047,42.3192
plot212,76.5308,46.0005
plot213,76.6852,46.1863
plot214,75.0505,44.2382
plot215,82.9239,54.007
plot216,101.5562,40.5016
plot217,72.7038,36.5332
plot218,71.9243,40.6294
plot219,82.8431,47.9725
plot220,96.722,47.7589
plot221,74.6046,40.6541
plot222,79.2462,49.3227
plot223,78.7836,48.7485
plot224,74.7949,43.9374
plot225,82.843,47.4334
plot226,97.827,48.1047
plot227,84.7089,41.7042
plot228,68.7545,37.1272
plot229,77.8087,47.5495
plot230,69.8379,38.3065
plot231,82.1449,52.997
plot232,79.6218,49.7913
plot233,81.5636,52.2495
plot234,83.0601,42.2639
plot235,86.5087,55.8384
plot236,73.3971,42.3104
plot237,76.3697,45.807
plot238,82.9823,54.083
plot239,81.9297,52.7196
plot240,71.3193,39.9488
plot241,85.8545,57.3127
plot242,72.3301,41.0892
plot243,74.2099,43.2528
plot244,75.402,44.6535
plot245,72.7294,41.5441
plot246,72.3463,41.1076
plot247,75.7351,45.0489
plot248,73.7939,42.3415
plot249,86.7766,59.1419
plot250,103.0902,41.7344
plot251,75.0605,40.2674
plot252,82.3019,53.1997
plot253,77.9717,47.7489
plot254,82.8137,53.8634
plot255,80.003,48.7612
plot256,86.5564,41.1895
plot257,83.5925,54.8813
plot258,73.4813,42.4076
plot259,72.1292,40.8613
plot260,102.2256,57.4522
plot261,78.7707,48.7326
plot262,92.3989,46.2671
plot263,84.8356,41.2638
plot264,75.8151,39.7268
plot265,81.218,51.8077
plot266,78.4888,43.0621
plot267,102.3047,54.2532
plot268,88.3646,36.7958
plot269,76.565,46.0416
plot270,79.3954,49.5086
plot271,79.2821,49.3674
plot272,76.8603,46.3975
plot273,83.7079,55.0329
plot274,68.2433,36.5771
plot275,81.7578,52.4986
plot276,80.21,50.5297
plot277,70.4257,38.954
plot278,76.9104,46.4579
plot279,82.1525,53.0068
plot280,69.2246,37.2603
plot281,76.4651,45.9216
plot282,79.106,49.1484
plot283,113.9401,49.9619
plot284,243.8928,18.6873
plot285,144.0581,14.6692
plot286,246.003,38.0242
plot287,67.323,34.1734
plot288,78.3579,48.2231
plot289,72.8497,41.6817
plot290,83.0042,37.3369
plot291,74.5778,42.809
plot292,78.7903,35.5925
plot293,97.445,52.9502
plot294,94.0762,50.0475
plot295,77.4067,47.0595
plot296,70.8181,39.3893
plot297,78.7866,44.852
plot298,94.6817,56.3264
plot299,95.432,59.3685
plot300,89.9396,45.1076
plot301,79.7518,38.9641
plot302,82.8338,53.8896
plot303,85.5654,37.3766
plot304,83.7674,55.1112
plot305,80.6104,51.0355
plot306,73.9714,42.9751
plot307,70.5313,39.071
plot308,73.8217,42.8014
plot309,69.8215,38.2885
plot310,77.4562,47.1197
plot311,73.584,42.5262
plot312,77.949,47.7212
plot313,71.2371,39.8568
plot314,73.9248,42.9211
plot315,83.4259,54.1161
plot316,74.6571,43.7756
plot317,94.4828,32.2517
plot318,240.5809,22.7291
plot319,202.8353,29.0817
plot320,80.6237,47.9892
plot321,75.9515,45.3067
plot322,88.9565,49.7205
plot323,98.131,37.8157
plot324,63.215,30.444
plot325,68.8699,37.2519
plot326,74.1955,43.236
plot327,72.9561,41.8035
plot328,74.2607,43.312
plot329,87.6754,60.3734
plot330,68.118,36.443
plot331,71.5005,40.1521
plot332,79.381,48.9957
plot333,73.4573,42.3799
plot334,82.6458,53.6452
plot335,93.4959,47.3723
plot336,91.2953,65.4617
plot337,71.259,39.8813
plot338,66.1384,34.3556
plot339,69.9095,38.0012
plot340,68.5289,36.8839
plot341,75.1294,44.3312
plot342,81.2334,51.8273
plot343,75.4298,44.6865
plot344,79.0441,49.0714
plot345,76.016,45.3837
plot346,80.3322,50.6838
plot347,79.4305,49.5524
plot348,71.2069,39.823
plot349,77.8248,45.6665
plot350,117.2883,42.137
plot351,81.9286,46.9193
plot352,77.9101,42.9062
plot353,344.6019,46.6332
plot354,82.6864,51.55
plot355,83.7189,52.8455
plot356,88.8223,48.9509
plot357,80.1653,38.8645
plot358,78.5483,48.4577
plot359,76.5676,46.0448
plot360,71.0433,39.6402
plot361,75.929,45.2798
plot362,76.2765,45.6953
plot363,72.3226,41.0807
plot364,79.5209,49.6653
plot365,73.6576,42.6114
plot366,77.1907,46.7972
plot367,71.4655,40.1128
plot368,70.0167,38.5029
plot369,71.8306,40.5237
plot370,92.5103,45.7066
plot371,73.481,42.4073
plot372,66.1752,34.3938
plot373,74.4817,43.5702
plot374,73.9687,42.9721
plot375,74.755,43.8905
plot376,63.4791,31.6483
plot377,83.6893,55.0086
plot378,76.5831,46.0634
plot379,80.5458,50.9538
plot380,75.4277,44.6839
plot381,70.7372,39.2994
plot382,72.3388,41.0991
plot383,82.4148,53.3458
plot384,113.8859,46.8584
plot385,78.7294,47.221
plot386,82.3207,53.2241
plot387,74.3849,39.1113
plot388,76.6703,45.7066
plot389,91.7772,47.6313
plot390,77.6835,38.8653
plot391,83.3693,54.5887
plot392,72.9109,41.7518
plot393,76.879,46.42
plot394,76.1887,45.5901
plot395,78.2926,48.1429
