cycle,'EXOTIC',length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT)))
149,EXOTIC,25558,34732,5233,37110
150,EXOTIC,24817,33865,5047,37230
151,EXOTIC,24095,33081,4886,37327
152,EXOTIC,23385,32250,4851,37294
153,EXOTIC,22732,31524,4811,37263
154,EXOTIC,22053,30783,4789,37237
155,EXOTIC,21377,30029,4763,37204
156,EXOTIC,20778,29331,4742,37160
157,EXOTIC,26541,28675,4717,37115
158,EXOTIC,25811,28035,4697,37070
159,EXOTIC,5997,46510,4668,37033
160,EXOTIC,5833,45358,4644,36999
161,EXOTIC,5656,44226,4626,36970
162,EXOTIC,5493,43123,4609,36936
163,EXOTIC,5330,42117,4548,36933
164,EXOTIC,5186,41075,4487,36940
165,EXOTIC,5048,40095,4450,36922
166,EXOTIC,4920,39123,4413,36906
167,EXOTIC,4777,38190,4358,36906
168,EXOTIC,4626,37240,3993,37218
169,EXOTIC,34974,36386,3866,37304
170,EXOTIC,33909,35487,3665,37460
171,EXOTIC,28600,38913,3601,37469
172,EXOTIC,27729,37998,3583,37423
173,EXOTIC,26933,37053,3538,37411
174,EXOTIC,26148,36132,3501,37389
175,EXOTIC,25351,35303,3449,37385
176,EXOTIC,24615,34483,3397,37376
177,EXOTIC,23943,33655,3373,37345
178,EXOTIC,23269,32506,3748,37320
179,EXOTIC,22564,31475,3983,37289
180,EXOTIC,21912,30532,4183,37251
181,EXOTIC,27717,29801,4186,37224
182,EXOTIC,26940,29112,4153,37200
183,EXOTIC,6077,48469,4122,37172
184,EXOTIC,5896,47236,4089,37132
185,EXOTIC,5732,46055,4040,37114
186,EXOTIC,5595,44951,3994,37103
187,EXOTIC,5449,43864,3968,37063
188,EXOTIC,5289,42830,3934,37040
189,EXOTIC,5153,41767,3904,37010
190,EXOTIC,4993,40715,3767,37123
191,EXOTIC,4858,39651,3544,37314
192,EXOTIC,4709,38658,3447,37367
193,EXOTIC,35307,37778,3330,37448
194,EXOTIC,34287,36945,3177,37538
195,EXOTIC,28947,40380,2874,37779
196,EXOTIC,28130,39427,2805,37793
197,EXOTIC,27297,38468,2692,37839
198,EXOTIC,26490,37496,2658,37828
199,EXOTIC,25702,36595,2638,37793
200,EXOTIC,24928,35757,2602,37777
201,EXOTIC,24194,34914,2535,37780
202,EXOTIC,23486,33788,2837,37769
203,EXOTIC,22840,32702,3087,37755
204,EXOTIC,22177,31668,3268,37727
205,EXOTIC,27864,30890,3291,37683
206,EXOTIC,27085,30154,3266,37646
207,EXOTIC,5952,49767,3237,37615
208,EXOTIC,5764,48523,3101,37687
209,EXOTIC,5566,47316,2808,37919
210,EXOTIC,5431,46094,2728,37942
211,EXOTIC,5271,44963,2610,38002
212,EXOTIC,5124,43803,2522,38041
213,EXOTIC,4988,42680,2477,38022
214,EXOTIC,4841,41637,2499,37995
215,EXOTIC,4688,40623,2499,37960
216,EXOTIC,4556,39626,2502,37933
217,EXOTIC,35729,38706,2487,37902
218,EXOTIC,34696,37787,2466,37863
219,EXOTIC,29512,41036,2437,37834
220,EXOTIC,28682,39991,2417,37805
221,EXOTIC,27871,39032,2390,37773
222,EXOTIC,27092,38183,2368,37739
