cycle,All labour current earning,All independent current earnig,cycle,Count of labour partners ,Count of independent harvesters,Count of caught harvesters
153,2969.588533,9403.689058,153,2,13,0
154,3675.233333,10588.27911,154,3,13,0
155,449.0466909,8466.495886,155,2,14,0
156,1154.691491,4949.548195,156,2,14,0
157,1154.691491,4861.102106,157,2,15,0
158,1860.336291,5434.657727,158,2,14,0
159,1860.336291,3975.016963,159,3,13,0
160,3183.420291,13728.60856,160,5,13,1
161,1614.840985,6326.21021,161,5,12,0
162,2781.115029,10145.80775,162,5,13,0
163,3161.077614,14208.42069,163,6,13,0
164,4484.161614,9880.655425,164,6,13,1
165,2923.600998,5355.444348,165,5,12,0
166,2401.152444,4051.636975,166,2,12,0
167,0,4124.869479,167,1,13,0
168,0,5740.768658,168,1,14,0
169,0,3357.572095,169,0,14,0
170,0,4119.853092,170,0,14,0
171,0,6305.27651,171,0,14,0
172,0,6276.799565,172,1,14,0
173,0,6779.172375,173,1,14,0
174,0,5751.503523,174,1,14,0
175,0,5816.350747,175,1,14,0
176,0,6339.305864,176,1,14,0
177,379.9625846,13542.29131,177,2,14,0
178,1085.607385,13570.00957,178,1,14,1
179,1085.607385,12780.56077,179,1,13,1
180,1791.252185,5046.437274,180,1,13,1
181,1791.252185,9375.654801,181,1,12,0
182,2496.896985,4156.924234,182,1,12,0
183,0,9274.734478,183,0,13,0
184,0,11574.25631,184,0,13,1
185,0,10676.1397,185,1,12,0
186,0,7434.641357,186,1,12,0
187,0,5580.892694,187,2,12,0
188,705.6448,5238.865778,188,3,12,0
189,1199.59616,5831.191822,189,3,12,0
190,1199.59616,7169.67969,190,5,12,0
191,1611.222293,7685.903692,191,4,12,0
192,1611.222293,7084.765986,192,4,12,0
193,2846.100693,7759.516512,193,3,12,1
194,0,7918.498594,194,2,11,0
195,0,7602.54001,195,2,12,0
196,0,6476.465364,196,0,13,0
197,0,5900.592296,197,0,13,0
198,0,12249.86282,198,0,15,0
199,2127.560463,7988.122396,199,2,15,1
200,7067.074063,5718.57976,200,2,14,1
201,7067.074063,6361.50347,201,2,13,0
202,7574.024143,5592.02653,202,2,14,0
203,7574.024143,6340.589991,203,2,15,0
204,8080.974223,8514.243543,204,2,15,0
205,0,6672.742456,205,0,15,0
206,860.6728242,7412.847825,206,3,15,0
207,860.6728242,15702.46415,207,3,15,0
208,860.6728242,11474.78391,208,3,15,0
209,1367.622904,5534.17758,209,3,15,0
210,1367.622904,5144.92648,210,3,15,0
211,1874.572984,7357.981621,211,3,15,1
212,0,6732.609369,212,0,14,0
213,0,12604.58047,213,0,14,0
214,0,11440.80637,214,0,16,1
215,0,15273.36337,215,2,15,0
216,0,14691.64458,216,2,15,0
217,0,18055.76707,217,3,15,3
218,0,15885.47124,218,3,12,0
219,0,25004.78271,219,3,12,0
220,0,30424.39507,220,3,12,0
221,0,34482.48139,221,2,12,0
222,0,26527.16372,222,2,12,0
223,0,17801.13707,223,1,12,1
224,0,19694.68505,224,1,11,0
225,0,17042.33131,225,2,12,1
226,259.9744,15343.64298,226,4,11,0
227,519.9488,11126.49046,227,3,11,0
228,519.9488,11153.70907,228,5,12,0
229,779.9232,16142.57517,229,6,13,2
230,779.9232,6881.084699,230,6,11,0
231,1088.6428,16783.0159,231,6,11,0
232,0,13235.19014,232,4,11,1
233,0,23103.83869,233,4,11,0
234,0,28951.38772,234,2,11,0
235,0,26108.16682,235,3,11,0
236,0,21048.85215,236,4,11,0
237,0,21405.1694,237,3,11,0
238,0,28370.76684,238,3,11,0
239,0,19450.34116,239,5,12,0
240,0,26298.13283,240,6,12,0
241,0,36172.69733,241,4,12,1
242,0,39301.09346,242,3,11,0
243,0,24927.77168,243,3,11,0
244,0,22759.58303,244,3,12,0
245,0,24344.08301,245,2,12,1
246,0,10407.58632,246,1,11,0
247,0,22629.26863,247,3,12,1
